sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
512,1454,,125,163823,2304,1232
1024,1454,,25,163823,2304,1232
1536,7739,,375,517369,256,784
2048,2140,,5,203239,512,1056
2560,2083,,625,165330,768,1328
3072,2081,,75,163823,1280,1232
3584,2081,,875,163823,1792,1232
4096,2081,1,163823,2304,1232
4608,2081,1,125,163823,2816,1232
5120,2081,1,25,163823,3328,1232
5632,2081,1,375,163823,3840,1232
6144,2081,1,5,163823,4352,1232
6656,2081,1,625,163823,4864,1232
7168,2081,1,75,163823,5120,1232
7680,2081,1,875,163823,5632,1232
8192,2081,2,163823,6144,1232
