sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
512,2043146,,125,4286857,1232,2448
1024,2043146,,25,4286857,1232,2448
1536,2060125,,375,4716400,224,912
2048,2058488,,5,4390599,448,1168
2560,2056852,,625,4716400,224,1936
3072,2046419,,75,4716400,224,2480
3584,2045601,,875,4301861,784,2448
4096,2045601,1,4286857,1232,2448
4608,2045601,1,125,4286000,1792,2448
5120,2045601,1,25,4285142,2240,2448
5632,2045601,1,375,4285142,2688,2448
6144,2045601,1,5,4285142,3136,2448
6656,2045601,1,625,4285142,3696,2448
7168,2045601,1,75,4285142,4144,2448
7680,2045601,1,875,4285142,4368,2704
8192,2045601,2,4285142,4368,3216
