
"SGA","DB_TIME","FACTOR","ESTD_PHYSICAL_READS","ESTD_BUFFER_CACHE_SIZE","ESTD_SHARED_POOL_SIZE"
1536,8233,"0.38",931192,288,960
2048,1104,"0.50",138387,864,960
2560,862,"0.63",112063,1152,1120
3072,860,"0.75",111828,1728,1040
3584,860,"0.88",111828,2304,1040
4096,860,"1.00",111828,2880,1040
4608,860,"1.13",111828,3168,1040
5120,860,"1.25",111828,3744,1040
5632,860,"1.38",111828,4320,1040
6144,860,"1.50",111828,4608,1040
6656,860,"1.63",111828,5184,1040
7168,860,"1.75",111828,5760,1040
7680,860,"1.88",111828,6048,1040
8192,860,"2.00",111828,6624,1040
