sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
768,2087,,125,230788,3456,2240
1536,2087,,25,230788,3456,2240
2304,3232,,375,257744,432,1264
3072,3170,,5,231042,864,1568
3840,3136,,625,231042,864,2352
4608,3136,,75,230788,1728,2240
5376,3136,,875,230788,2592,2240
6144,3136,1,230788,3456,2240
6912,3136,1,125,230788,3888,2240
7680,3136,1,25,230788,4752,2240
8448,3136,1,375,230788,5616,2240
9216,3136,1,5,230788,6048,2240
9984,3136,1,625,230788,6912,2240
10752,3136,1,75,230788,7776,2240
11520,3136,1,875,230788,8208,2240
12288,3136,2,230788,9072,2240
