
"SGA","DB_TIME","FACTOR","ESTD_PHYSICAL_READS","ESTD_BUFFER_CACHE_SIZE","ESTD_SHARED_POOL_SIZE"
1536,137938,"0.38",2847728,256,1024
2048,11811,"0.50",1709021,512,1296
2560,10278,"0.63",538059,1024,1296
3072,9929,"0.75",315491,1280,1536
3584,9927,"0.88",314673,1792,1536
4096,9927,"1.00",314673,2304,1536
4608,9927,"1.13",314673,2672,1536
5120,9927,"1.25",314673,3328,1536
5632,9927,"1.38",314673,3840,1536
6144,9927,"1.50",314673,4096,1536
6656,9927,"1.63",314673,4608,1536
7168,9927,"1.75",314673,5120,1536
7680,9927,"1.88",314673,5632,1536
8192,9927,"2.00",314673,6144,1536
