INSTANCE,SYSDATE,VALUE
1,06-01-22 02,3828
2,06-01-22 02,18690
1,06-01-22 02,2440
2,06-01-22 02,29924
2,06-01-22 03,19790
1,06-01-22 03,2514
1,06-01-22 03,1708
2,06-01-22 03,30689
2,06-01-22 03,20005
1,06-01-22 03,2357
1,06-01-22 03,3427
2,06-01-22 03,29632
1,06-01-22 04,2979
2,06-01-22 04,19522
2,06-01-22 04,29047
1,06-01-22 04,3102
2,06-01-22 04,20481
1,06-01-22 04,3082
1,06-01-22 04,3502
2,06-01-22 04,29225
1,06-01-22 05,5054
2,06-01-22 05,16876
2,06-01-22 05,28965
1,06-01-22 05,2976
2,06-01-22 05,19964
1,06-01-22 05,3202
2,06-01-22 05,17769
1,06-01-22 05,15375
1,06-01-22 06,4881
2,06-01-22 06,22155
2,06-01-22 06,33880
1,06-01-22 06,2915
2,06-01-22 06,22223
1,06-01-22 06,4384
2,06-01-22 06,32311
1,06-01-22 06,3230
2,06-01-22 07,19127
1,06-01-22 07,7389
1,06-01-22 07,3973
2,06-01-22 07,31074
2,06-01-22 07,5128
1,06-01-22 07,18256
2,06-01-22 07,31500
1,06-01-22 07,3722
2,06-01-22 08,21252
1,06-01-22 08,4343
2,06-01-22 08,16394
1,06-01-22 08,18776
2,06-01-22 08,18054
1,06-01-22 08,7419
2,06-01-22 08,30832
1,06-01-22 08,4872
1,06-01-22 09,6299
2,06-01-22 09,18629
2,06-01-22 09,17962
1,06-01-22 09,18403
2,06-01-22 09,17987
1,06-01-22 09,7624
2,06-01-22 09,20295
1,06-01-22 09,15932
1,06-01-22 10,10802
2,06-01-22 10,16631
2,06-01-22 10,3672
1,06-01-22 10,31961
2,06-01-22 10,18198
1,06-01-22 10,6973
2,06-01-22 10,21210
1,06-01-22 10,17046
1,06-01-22 11,19753
2,06-01-22 11,7409
2,06-01-22 11,15606
1,06-01-22 11,20148
1,06-01-22 11,6428
2,06-01-22 11,20234
2,06-01-22 11,4407
1,06-01-22 11,32158
2,06-01-22 12,21988
1,06-01-22 12,6165
1,06-01-22 12,20975
2,06-01-22 12,15648
1,06-01-22 12,22382
2,06-01-22 12,5163
2,06-01-22 12,30887
1,06-01-22 12,5821
2,06-01-22 13,21182
1,06-01-22 13,4117
1,06-01-22 13,5703
2,06-01-22 13,32703
2,06-01-22 13,21089
1,06-01-22 13,4369
2,06-01-22 13,32129
1,06-01-22 13,4488
2,06-01-22 14,21471
1,06-01-22 14,5121
1,06-01-22 14,5040
2,06-01-22 14,30042
1,06-01-22 14,4768
2,06-01-22 14,20638
1,06-01-22 14,4421
2,06-01-22 14,31391
1,06-01-22 15,4349
2,06-01-22 15,19986
2,06-01-22 15,30374
1,06-01-22 15,4161
1,06-01-22 15,4069
2,06-01-22 15,20359
2,06-01-22 15,18163
1,06-01-22 15,17037
1,06-01-22 16,18096
2,06-01-22 16,7687
2,06-01-22 16,16443
1,06-01-22 16,18338
2,06-01-22 16,18519
1,06-01-22 16,8607
1,06-01-22 16,27720
2,06-01-22 16,7604
2,06-01-22 17,6140
1,06-01-22 17,19666
1,06-01-22 17,17967
2,06-01-22 17,18178
2,06-01-22 17,18772
1,06-01-22 17,6824
1,06-01-22 17,16791
2,06-01-22 17,18804
2,06-01-22 18,7130
1,06-01-22 18,19884
1,06-01-22 18,8482
2,06-01-22 18,29949
2,06-01-22 18,9941
1,06-01-22 18,18038
1,06-01-22 18,33337
2,06-01-22 18,5353
1,06-01-22 19,22415
2,06-01-22 19,5256
2,06-01-22 19,17658
1,06-01-22 19,20407
1,06-01-22 19,21003
2,06-01-22 19,6962
2,06-01-22 19,6296
1,06-01-22 19,36105
