INSTANCE_NUMBER,END_INTERVAL_TIME,DATA,AAS
1,"27/09/2021 01:00",774,13
1,"27/09/2021 02:00",797,13
1,"27/09/2021 03:00",719,12
1,"27/09/2021 04:00",725,12
1,"27/09/2021 05:00",784,13
1,"27/09/2021 06:00",766,13
1,"27/09/2021 07:00",772,13
1,"27/09/2021 08:00",801,13
1,"27/09/2021 09:00",745,13
1,"27/09/2021 10:00",761,13
1,"27/09/2021 11:00",709,12
1,"27/09/2021 12:00",728,12
1,"27/09/2021 13:00",773,13
1,"27/09/2021 14:00",804,13
1,"27/09/2021 14:00",140,18
1,"27/09/2021 15:00",838,16
1,"27/09/2021 16:00",1085,18
1,"27/09/2021 17:00",1017,17
1,"27/09/2021 18:00",1030,17
1,"27/09/2021 19:00",901,15
1,"27/09/2021 20:00",889,15
1,"27/09/2021 21:00",918,15
1,"27/09/2021 22:00",934,16
1,"27/09/2021 23:00",1100,18
1,"28/09/2021 00:00",1016,17
1,"28/09/2021 01:00",1235,21
1,"28/09/2021 02:00",1124,19
1,"28/09/2021 03:00",1339,22
1,"28/09/2021 04:00",1200,20
1,"28/09/2021 05:00",1262,21
1,"28/09/2021 06:00",1145,19
1,"28/09/2021 07:00",930,15
1,"28/09/2021 08:00",874,14
1,"28/09/2021 09:00",894,15
1,"28/09/2021 10:00",860,14
1,"28/09/2021 11:00",836,14
1,"28/09/2021 12:00",931,15
1,"28/09/2021 13:00",882,15
1,"28/09/2021 14:00",996,17
1,"28/09/2021 15:00",957,16
1,"28/09/2021 16:00",981,16
1,"28/09/2021 17:00",1116,19
1,"28/09/2021 18:00",965,16
1,"28/09/2021 19:00",852,14
1,"28/09/2021 20:00",879,15
1,"28/09/2021 21:00",880,15
1,"28/09/2021 22:00",862,15
1,"28/09/2021 23:00",1099,18
1,"29/09/2021 00:00",842,14
1,"29/09/2021 01:00",943,16
1,"29/09/2021 02:00",939,16
1,"29/09/2021 03:00",886,15
1,"29/09/2021 04:00",895,15
1,"29/09/2021 05:00",889,15
1,"29/09/2021 06:00",893,15
1,"29/09/2021 07:00",928,15
1,"29/09/2021 08:00",875,14
1,"29/09/2021 09:00",833,14
1,"29/09/2021 10:00",815,13
1,"29/09/2021 11:00",740,12
1,"29/09/2021 12:00",798,13
1,"29/09/2021 13:00",879,15
1,"29/09/2021 14:00",993,17
1,"29/09/2021 15:00",1033,17
1,"29/09/2021 16:00",932,16
1,"29/09/2021 17:00",1112,18
1,"29/09/2021 18:00",1154,19
1,"29/09/2021 19:00",1156,19
1,"29/09/2021 20:00",1034,17
1,"29/09/2021 21:00",1072,18
1,"29/09/2021 22:00",1188,20
1,"29/09/2021 23:00",1338,22
1,"30/09/2021 00:00",1131,19
1,"30/09/2021 01:00",1227,20
1,"30/09/2021 02:00",1184,20
1,"30/09/2021 03:00",1058,18
1,"30/09/2021 04:00",973,16
1,"30/09/2021 05:00",1065,18
1,"30/09/2021 06:00",1031,17
1,"30/09/2021 07:00",911,15
1,"30/09/2021 08:00",800,13
1,"30/09/2021 09:00",894,15
1,"30/09/2021 10:00",964,16
1,"30/09/2021 11:00",970,16
1,"30/09/2021 12:00",897,15
1,"30/09/2021 13:00",966,16
1,"30/09/2021 14:00",1082,18
1,"30/09/2021 15:00",5883,97
1,"30/09/2021 16:00",1129,19
1,"30/09/2021 17:00",1052,17
1,"30/09/2021 18:00",830,14
1,"30/09/2021 19:00",979,16
1,"30/09/2021 20:00",1054,18
1,"30/09/2021 21:00",977,16
1,"30/09/2021 22:00",993,16
1,"30/09/2021 23:00",1297,21
1,"01/10/2021 00:00",1192,20
1,"01/10/2021 01:00",1294,21
1,"01/10/2021 02:00",1206,20
1,"01/10/2021 03:00",1202,20
1,"01/10/2021 04:00",1256,21
1,"01/10/2021 05:00",1216,20
1,"01/10/2021 06:00",1140,19
1,"01/10/2021 07:00",1146,19
1,"01/10/2021 08:00",977,16
1,"01/10/2021 09:00",969,16
1,"01/10/2021 10:00",1093,18
1,"01/10/2021 11:00",1158,19
1,"01/10/2021 12:00",1078,18
1,"01/10/2021 13:00",1084,18
1,"01/10/2021 14:00",1136,19
1,"01/10/2021 15:00",1181,20
1,"01/10/2021 16:00",1169,19
1,"01/10/2021 17:00",1186,20
1,"01/10/2021 18:00",1126,19
1,"01/10/2021 19:00",1289,21
1,"01/10/2021 20:00",1290,21
1,"01/10/2021 21:00",1214,20
1,"01/10/2021 22:00",1056,17
1,"01/10/2021 23:00",1090,18
1,"02/10/2021 00:00",1080,18
1,"02/10/2021 01:00",1098,18
1,"02/10/2021 02:00",1003,17
1,"02/10/2021 03:00",925,15
1,"02/10/2021 04:00",890,15
1,"02/10/2021 05:00",1002,17
1,"02/10/2021 06:00",1017,17
1,"02/10/2021 07:00",1037,17
1,"02/10/2021 08:00",870,14
1,"02/10/2021 09:00",695,12
1,"02/10/2021 10:00",877,15
1,"02/10/2021 11:00",933,15
1,"02/10/2021 12:00",910,15
1,"02/10/2021 13:00",1030,17
1,"02/10/2021 14:00",936,16
1,"02/10/2021 15:00",1090,18
1,"02/10/2021 16:00",1065,18
1,"02/10/2021 17:00",1078,18
1,"02/10/2021 18:00",932,16
1,"02/10/2021 19:00",938,16
1,"02/10/2021 20:00",1026,17
1,"02/10/2021 21:00",1187,20
1,"02/10/2021 22:00",1180,20
1,"02/10/2021 23:00",1087,18
1,"03/10/2021 00:00",1059,18
1,"03/10/2021 01:00",1257,21
1,"03/10/2021 02:00",1174,20
1,"03/10/2021 03:00",1165,19
1,"03/10/2021 04:00",1118,19
1,"03/10/2021 05:00",1041,17
1,"03/10/2021 06:00",1099,18
1,"03/10/2021 07:00",1028,17
1,"03/10/2021 08:00",684,11
1,"03/10/2021 09:00",741,12
1,"03/10/2021 10:00",862,14
1,"03/10/2021 11:00",846,14
1,"03/10/2021 12:00",879,15
1,"03/10/2021 13:00",893,15
1,"03/10/2021 14:00",852,14
1,"03/10/2021 15:00",975,16
1,"03/10/2021 16:00",904,15
1,"03/10/2021 17:00",977,16
1,"03/10/2021 18:00",969,16
1,"03/10/2021 19:00",844,14
1,"03/10/2021 20:00",866,15
1,"03/10/2021 21:00",975,16
1,"03/10/2021 22:00",918,15
1,"03/10/2021 23:00",986,16
1,"04/10/2021 00:00",783,13
1,"04/10/2021 01:00",808,13
1,"04/10/2021 02:00",788,13
1,"04/10/2021 03:00",785,13
1,"04/10/2021 04:00",656,11
1,"04/10/2021 05:00",551,9
1,"04/10/2021 06:00",592,10
1,"04/10/2021 07:00",706,12
1,"04/10/2021 08:00",701,12
1,"04/10/2021 09:00",644,11
1,"04/10/2021 10:00",601,10
1,"04/10/2021 11:00",705,12
1,"04/10/2021 12:00",721,12
1,"04/10/2021 13:00",793,13
1,"04/10/2021 14:00",802,13
1,"04/10/2021 15:00",982,16
1,"04/10/2021 16:00",1372,23
1,"04/10/2021 17:00",1479,25
1,"04/10/2021 18:00",1784,30
1,"04/10/2021 19:00",1134,19
1,"04/10/2021 20:00",924,15
1,"04/10/2021 21:00",943,16
1,"04/10/2021 22:00",1005,17
1,"04/10/2021 23:00",1153,19
1,"05/10/2021 00:00",975,16
1,"05/10/2021 01:00",1000,17
1,"05/10/2021 02:00",6242,103
1,"05/10/2021 03:00",3022,51
1,"05/10/2021 04:00",794,13
1,"05/10/2021 05:00",787,13
1,"05/10/2021 06:00",763,13
1,"05/10/2021 07:00",710,12
1,"05/10/2021 08:00",727,12
1,"05/10/2021 09:00",727,12
1,"05/10/2021 10:00",747,12
1,"05/10/2021 11:00",766,13
1,"05/10/2021 12:00",634,11
1,"05/10/2021 13:00",639,11
1,"05/10/2021 14:00",769,13
1,"05/10/2021 15:00",794,13
1,"05/10/2021 16:00",887,15
1,"05/10/2021 17:00",829,14
1,"05/10/2021 18:00",748,13
1,"05/10/2021 19:00",890,15
1,"05/10/2021 20:00",770,13
1,"05/10/2021 21:00",825,14
1,"05/10/2021 22:00",807,13
1,"05/10/2021 23:00",831,14
1,"06/10/2021 00:00",836,14
1,"06/10/2021 01:00",905,15
1,"06/10/2021 02:00",798,13
1,"06/10/2021 03:00",651,11
1,"06/10/2021 04:00",603,10
1,"06/10/2021 05:00",613,10
1,"06/10/2021 06:00",883,15
1,"06/10/2021 07:00",726,12
1,"06/10/2021 08:00",792,13
1,"06/10/2021 09:00",720,12
1,"06/10/2021 09:00",556,11
1,"06/10/2021 09:00",4,8
1,"06/10/2021 09:00",5,13
1,"06/10/2021 11:00",917,13
1,"06/10/2021 12:00",755,13
1,"06/10/2021 13:00",678,11
1,"06/10/2021 14:00",826,14
1,"06/10/2021 15:00",884,15
1,"06/10/2021 16:00",872,15
1,"06/10/2021 17:00",814,13
1,"06/10/2021 18:00",822,14
1,"06/10/2021 19:00",884,15
1,"06/10/2021 20:00",764,13
1,"06/10/2021 21:00",936,16
1,"06/10/2021 22:00",883,15
1,"06/10/2021 23:00",985,17
1,"07/10/2021 00:00",917,15
1,"07/10/2021 01:00",824,14
1,"07/10/2021 02:00",758,13
1,"07/10/2021 03:00",641,11
1,"07/10/2021 04:00",630,11
1,"07/10/2021 05:00",660,11
1,"07/10/2021 06:00",655,11
1,"07/10/2021 07:00",587,10
1,"07/10/2021 08:00",575,10
1,"07/10/2021 09:00",605,10
1,"07/10/2021 10:00",761,13
1,"07/10/2021 11:00",646,11
1,"07/10/2021 12:00",639,11
1,"07/10/2021 13:00",715,12
1,"07/10/2021 14:00",738,12
1,"07/10/2021 15:00",895,15
1,"07/10/2021 16:00",814,14
1,"07/10/2021 17:00",954,16
1,"07/10/2021 18:00",764,13
1,"07/10/2021 19:00",787,13
1,"07/10/2021 20:00",767,13
1,"07/10/2021 21:00",809,14
1,"07/10/2021 22:00",858,14
1,"07/10/2021 23:00",835,14
1,"08/10/2021 00:00",755,13
1,"08/10/2021 01:00",841,14
1,"08/10/2021 02:00",754,13
1,"08/10/2021 03:00",705,12
