INSTANCE,SYSDATE,VALUE
1,06-01-22 00,997
1,06-01-22 01,938
1,06-01-22 02,975
1,06-01-22 03,927
1,06-01-22 04,925
1,06-01-22 05,957
1,06-01-22 06,893
1,06-01-22 07,917
1,06-01-22 08,876
1,06-01-22 09,919
1,06-01-22 10,892
1,06-01-22 11,908
1,06-01-22 12,898
1,06-01-22 13,904
1,06-01-22 14,875
1,06-01-22 15,891
1,06-01-22 16,902
1,06-01-22 17,897
1,06-01-22 18,897
1,06-01-22 19,906
1,06-01-22 20,888
1,06-01-22 21,9189
1,06-01-22 22,6747
1,06-01-22 23,9638
1,07-01-22 00,913
1,07-01-22 01,922
1,07-01-22 02,955
1,07-01-22 03,880
1,07-01-22 04,885
1,07-01-22 05,891
1,07-01-22 06,934
1,07-01-22 07,874
1,07-01-22 08,888
1,07-01-22 09,917
1,07-01-22 10,909
1,07-01-22 11,896
1,07-01-22 12,906
1,07-01-22 13,919
1,07-01-22 14,911
1,07-01-22 15,869
1,07-01-22 16,914
1,07-01-22 17,899
1,07-01-22 18,889
1,07-01-22 19,896
1,07-01-22 20,900
1,07-01-22 21,4987
1,07-01-22 22,18199
1,07-01-22 23,1092
1,08-01-22 00,901
1,08-01-22 01,912
1,08-01-22 02,906
1,08-01-22 03,947
1,08-01-22 04,883
1,08-01-22 05,7780
1,08-01-22 06,2074
1,08-01-22 07,930
1,08-01-22 08,957
1,08-01-22 09,927
1,08-01-22 10,2866
1,08-01-22 11,1002
1,08-01-22 12,891
1,08-01-22 13,923
1,08-01-22 14,2914
1,08-01-22 15,906
1,08-01-22 16,900
1,08-01-22 17,932
1,08-01-22 18,2498
1,08-01-22 19,941
1,08-01-22 20,927
1,08-01-22 21,902
1,08-01-22 22,7156
1,08-01-22 23,10348
1,09-01-22 00,962
1,09-01-22 01,918
1,09-01-22 02,901
1,09-01-22 03,925
1,09-01-22 04,896
1,09-01-22 05,9463
1,09-01-22 06,976
1,09-01-22 07,931
1,09-01-22 08,950
1,09-01-22 09,913
1,09-01-22 10,2468
1,09-01-22 11,922
1,09-01-22 12,897
1,09-01-22 13,926
1,09-01-22 14,2215
1,09-01-22 15,912
1,09-01-22 16,918
1,09-01-22 17,915
1,09-01-22 18,2392
1,09-01-22 19,919
1,09-01-22 20,915
1,09-01-22 21,903
1,09-01-22 22,7165
1,09-01-22 23,9793
1,10-01-22 00,973
1,10-01-22 01,909
1,10-01-22 02,922
1,10-01-22 03,877
1,10-01-22 04,917
1,10-01-22 05,881
1,10-01-22 06,894
1,10-01-22 07,911
1,10-01-22 08,922
1,10-01-22 09,894
1,10-01-22 10,897
1,10-01-22 11,974
1,10-01-22 12,2359
1,10-01-22 13,1545
1,10-01-22 14,1410
1,10-01-22 15,919
1,10-01-22 16,913
1,10-01-22 17,926
1,10-01-22 18,903
1,10-01-22 19,917
1,10-01-22 20,921
1,10-01-22 21,9051
1,10-01-22 22,7701
1,10-01-22 23,9701
1,11-01-22 00,968
1,11-01-22 01,922
1,11-01-22 02,911
1,11-01-22 03,878
1,11-01-22 04,903
1,11-01-22 05,893
1,11-01-22 06,881
1,11-01-22 07,892
1,11-01-22 08,947
1,11-01-22 09,894
1,11-01-22 10,1543
1,11-01-22 11,2273
1,11-01-22 12,967
1,11-01-22 13,942
1,11-01-22 14,1210
1,11-01-22 15,908
1,11-01-22 16,926
1,11-01-22 17,888
1,11-01-22 18,899
1,11-01-22 19,922
1,11-01-22 20,887
1,11-01-22 21,1472
1,11-01-22 22,16418
1,11-01-22 23,10577
1,12-01-22 00,943
1,12-01-22 01,943
1,12-01-22 02,924
1,12-01-22 03,912
1,12-01-22 04,960
1,12-01-22 05,866
1,12-01-22 06,911
1,12-01-22 07,899
1,12-01-22 08,914
1,12-01-22 09,1169
1,12-01-22 10,942
1,12-01-22 11,951
1,12-01-22 12,921
1,12-01-22 13,935
1,12-01-22 14,956
1,12-01-22 15,911
1,12-01-22 16,905
1,12-01-22 17,901
1,12-01-22 18,1240
1,12-01-22 19,935
1,12-01-22 20,920
1,12-01-22 21,17865
1,12-01-22 22,1007
1,12-01-22 23,10508
1,13-01-22 00,975
1,13-01-22 01,919
1,13-01-22 02,934
1,13-01-22 03,902
1,13-01-22 04,896
1,13-01-22 05,890
1,13-01-22 06,899
1,13-01-22 07,916
1,13-01-22 08,930
1,13-01-22 09,1192
1,13-01-22 10,1759
1,13-01-22 11,902
1,13-01-22 12,923
1,13-01-22 13,920
1,13-01-22 14,937
1,13-01-22 15,903
1,13-01-22 16,905
1,13-01-22 17,894
1,13-01-22 18,896
1,13-01-22 19,897
1,13-01-22 20,899
1,13-01-22 21,15172
1,13-01-22 22,1353
1,13-01-22 23,9788
1,14-01-22 00,964
1,14-01-22 01,917
1,14-01-22 02,901
1,14-01-22 03,882
1,14-01-22 04,907
1,14-01-22 05,895
1,14-01-22 06,894
1,14-01-22 07,915
1,14-01-22 08,920
1,14-01-22 09,1473
1,14-01-22 10,935
