
"INSTANCE","DATETIME","DATA"
1,"26/09/2021 00:00",2649
1,"26/09/2021 01:01",3228
1,"26/09/2021 02:00",3560
1,"26/09/2021 03:01",3024
1,"26/09/2021 04:00",3661
1,"26/09/2021 05:00",3717
1,"26/09/2021 06:01",3251
1,"26/09/2021 07:00",2370
1,"26/09/2021 08:01",2300
1,"26/09/2021 09:00",1747
1,"26/09/2021 10:00",2420
1,"26/09/2021 11:00",1619
1,"26/09/2021 12:00",2294
1,"26/09/2021 13:00",2109
1,"26/09/2021 14:01",2749
1,"26/09/2021 15:00",2544
1,"26/09/2021 16:01",2664
1,"26/09/2021 17:00",3340
1,"26/09/2021 18:00",3266
1,"26/09/2021 19:01",3177
1,"26/09/2021 20:00",3319
1,"26/09/2021 21:01",3114
1,"26/09/2021 22:00",3957
1,"26/09/2021 23:00",2619
1,"27/09/2021 00:00",2210
1,"27/09/2021 01:00",1919
1,"27/09/2021 02:00",2498
1,"27/09/2021 03:00",3274
1,"27/09/2021 04:00",4029
1,"27/09/2021 05:00",5386
1,"27/09/2021 06:01",4407
1,"27/09/2021 07:00",2938
1,"27/09/2021 08:01",3478
1,"27/09/2021 09:00",3774
1,"27/09/2021 10:00",3262
1,"27/09/2021 11:00",3729
1,"27/09/2021 12:00",4232
1,"27/09/2021 13:01",2624
1,"27/09/2021 14:00",488
1,"27/09/2021 14:08",3055
1,"27/09/2021 15:00",2746
1,"27/09/2021 16:00",3563
1,"27/09/2021 17:00",4674
1,"27/09/2021 18:00",4491
1,"27/09/2021 19:01",4358
1,"27/09/2021 20:00",2806
1,"27/09/2021 21:01",3707
1,"27/09/2021 22:00",3635
1,"27/09/2021 23:00",3610
1,"28/09/2021 00:00",4265
1,"28/09/2021 01:00",3198
1,"28/09/2021 02:01",2604
1,"28/09/2021 03:01",2916
1,"28/09/2021 04:00",2778
1,"28/09/2021 05:00",3884
1,"28/09/2021 06:00",4521
1,"28/09/2021 07:00",3196
1,"28/09/2021 08:01",2642
1,"28/09/2021 09:00",3116
1,"28/09/2021 10:01",3016
1,"28/09/2021 11:00",2556
1,"28/09/2021 12:00",3071
1,"28/09/2021 13:00",3478
1,"28/09/2021 14:00",3117
1,"28/09/2021 15:00",3665
1,"28/09/2021 16:00",3966
1,"28/09/2021 17:00",3265
1,"28/09/2021 18:00",3032
1,"28/09/2021 19:00",2974
1,"28/09/2021 20:00",4062
1,"28/09/2021 21:01",2700
1,"28/09/2021 22:00",4486
1,"28/09/2021 23:01",3660
1,"29/09/2021 00:00",4136
1,"29/09/2021 01:00",3140
1,"29/09/2021 02:00",3187
1,"29/09/2021 03:00",2716
1,"29/09/2021 04:00",4221
1,"29/09/2021 05:01",3858
1,"29/09/2021 06:00",3704
1,"29/09/2021 07:00",4154
1,"29/09/2021 08:01",3002
1,"29/09/2021 09:00",3619
1,"29/09/2021 10:01",3074
1,"29/09/2021 11:00",4830
1,"29/09/2021 12:00",2984
1,"29/09/2021 13:01",3708
1,"29/09/2021 14:00",4387
1,"29/09/2021 15:01",4603
1,"29/09/2021 16:00",3684
1,"29/09/2021 17:00",3463
1,"29/09/2021 18:00",2870
1,"29/09/2021 19:00",3776
1,"29/09/2021 20:01",3871
1,"29/09/2021 21:00",3152
1,"29/09/2021 22:00",4103
1,"29/09/2021 23:00",3585
1,"30/09/2021 00:00",3795
1,"30/09/2021 01:00",2923
1,"30/09/2021 02:01",3463
1,"30/09/2021 03:00",2883
1,"30/09/2021 04:01",4081
1,"30/09/2021 05:00",3457
1,"30/09/2021 06:00",3121
1,"30/09/2021 07:00",2918
1,"30/09/2021 08:00",2822
1,"30/09/2021 09:00",3035
1,"30/09/2021 10:01",3688
1,"30/09/2021 11:00",3391
1,"30/09/2021 12:01",4123
1,"30/09/2021 13:00",4060
1,"30/09/2021 14:00",4935
1,"30/09/2021 15:01",2897
1,"30/09/2021 16:00",3224
1,"30/09/2021 17:01",3646
1,"30/09/2021 18:00",2224
1,"30/09/2021 19:00",3335
1,"30/09/2021 20:00",3864
1,"30/09/2021 21:00",4947
1,"30/09/2021 22:00",3634
1,"30/09/2021 23:01",3335
1,"01/10/2021 00:00",3885
1,"01/10/2021 01:01",3674
1,"01/10/2021 02:00",3760
1,"01/10/2021 03:00",4282
1,"01/10/2021 04:00",4349
1,"01/10/2021 05:00",3965
1,"01/10/2021 06:00",3468
1,"01/10/2021 07:01",3145
1,"01/10/2021 08:00",3502
1,"01/10/2021 09:01",3444
1,"01/10/2021 10:00",4529
1,"01/10/2021 11:00",4224
1,"01/10/2021 12:00",4475
1,"01/10/2021 13:00",4027
1,"01/10/2021 14:00",3959
1,"01/10/2021 15:00",2712
1,"01/10/2021 16:00",2918
1,"01/10/2021 17:00",3917
1,"01/10/2021 18:00",4109
1,"01/10/2021 19:00",4097
1,"01/10/2021 20:01",4382
1,"01/10/2021 21:00",3577
1,"01/10/2021 22:01",3808
1,"01/10/2021 23:00",3531
1,"02/10/2021 00:01",3049
1,"02/10/2021 01:00",3403
1,"02/10/2021 02:00",3232
1,"02/10/2021 03:00",3000
1,"02/10/2021 04:00",3410
1,"02/10/2021 05:00",3082
1,"02/10/2021 06:01",2763
1,"02/10/2021 07:00",2871
1,"02/10/2021 08:00",2939
1,"02/10/2021 09:01",3985
1,"02/10/2021 10:00",4111
1,"02/10/2021 11:01",2321
1,"02/10/2021 12:00",3232
1,"02/10/2021 13:00",3990
1,"02/10/2021 14:00",4073
1,"02/10/2021 15:00",2790
1,"02/10/2021 16:00",3398
1,"02/10/2021 17:01",3054
1,"02/10/2021 18:00",3016
1,"02/10/2021 19:01",3393
1,"02/10/2021 20:00",4066
1,"02/10/2021 21:00",4073
1,"02/10/2021 22:01",2944
1,"02/10/2021 23:00",3029
1,"03/10/2021 00:01",4284
1,"03/10/2021 01:00",4090
1,"03/10/2021 02:00",4856
1,"03/10/2021 03:00",2899
1,"03/10/2021 04:00",4138
1,"03/10/2021 05:00",3788
1,"03/10/2021 06:01",2695
1,"03/10/2021 07:00",3169
1,"03/10/2021 08:01",2700
1,"03/10/2021 09:00",2932
1,"03/10/2021 10:00",3697
1,"03/10/2021 11:00",3790
1,"03/10/2021 12:00",3413
1,"03/10/2021 13:00",3079
1,"03/10/2021 14:01",3143
1,"03/10/2021 15:00",3772
1,"03/10/2021 16:00",2760
1,"03/10/2021 17:00",3461
1,"03/10/2021 18:00",2725
1,"03/10/2021 19:01",3152
1,"03/10/2021 20:00",3289
1,"03/10/2021 21:01",2822
1,"03/10/2021 22:00",3771
1,"03/10/2021 23:00",3818
1,"04/10/2021 00:00",3106
1,"04/10/2021 01:00",3498
1,"04/10/2021 02:00",3033
1,"04/10/2021 03:01",3151
1,"04/10/2021 04:00",3630
1,"04/10/2021 05:01",3247
1,"04/10/2021 06:00",3086
1,"04/10/2021 07:00",2665
1,"04/10/2021 08:01",2938
1,"04/10/2021 09:00",3033
1,"04/10/2021 10:01",2472
1,"04/10/2021 11:00",3128
1,"04/10/2021 12:00",3879
1,"04/10/2021 13:00",4497
1,"04/10/2021 14:00",4847
1,"04/10/2021 15:00",4156
1,"04/10/2021 16:01",3884
1,"04/10/2021 17:00",3676
1,"04/10/2021 18:01",4123
1,"04/10/2021 19:00",4293
1,"04/10/2021 20:00",4488
1,"04/10/2021 21:01",4492
1,"04/10/2021 22:00",4241
1,"04/10/2021 23:01",4236
1,"05/10/2021 00:00",4140
1,"05/10/2021 01:00",4612
1,"05/10/2021 02:01",3478
1,"05/10/2021 03:00",2854
