"INSTANCE_NUMBER","END_INTERVAL_TIME","db_time (min)","AAS"
1,"07/05/2020 01:00",522,9
1,"07/05/2020 02:00",474,8
1,"07/05/2020 03:00",444,7
1,"07/05/2020 04:00",432,7
1,"07/05/2020 05:00",417,7
1,"07/05/2020 06:00",405,7
1,"07/05/2020 07:00",421,7
1,"07/05/2020 08:00",405,7
1,"07/05/2020 09:00",401,7
1,"07/05/2020 10:00",382,6
1,"07/05/2020 11:00",449,7
1,"07/05/2020 12:00",468,8
1,"07/05/2020 13:00",503,8
1,"07/05/2020 14:00",541,9
1,"07/05/2020 15:00",558,9
1,"07/05/2020 16:00",597,10
1,"07/05/2020 17:00",632,11
1,"07/05/2020 18:00",607,10
1,"07/05/2020 19:00",578,10
1,"07/05/2020 20:00",598,10
1,"07/05/2020 21:00",617,10
1,"07/05/2020 22:00",638,11
1,"07/05/2020 23:00",877,15
1,"08/05/2020 00:00",654,11
1,"08/05/2020 01:00",603,10
1,"08/05/2020 02:00",526,9
1,"08/05/2020 03:00",490,8
1,"08/05/2020 04:00",481,8
1,"08/05/2020 05:00",471,8
1,"08/05/2020 06:00",487,8
1,"08/05/2020 07:00",463,8
1,"08/05/2020 08:00",500,8
1,"08/05/2020 09:00",499,8
1,"08/05/2020 10:00",485,8
1,"08/05/2020 11:00",482,8
1,"08/05/2020 12:00",508,8
1,"08/05/2020 13:00",526,9
1,"08/05/2020 14:00",554,9
1,"08/05/2020 15:00",573,10
1,"08/05/2020 16:00",596,10
1,"08/05/2020 17:00",604,10
1,"08/05/2020 18:00",626,10
1,"08/05/2020 19:00",602,10
1,"08/05/2020 20:00",606,10
1,"08/05/2020 21:00",592,10
1,"08/05/2020 22:00",566,9
1,"08/05/2020 23:00",757,13
1,"09/05/2020 00:00",504,8
1,"09/05/2020 01:00",498,8
1,"09/05/2020 02:00",472,8
1,"09/05/2020 03:00",503,8
1,"09/05/2020 04:00",493,8
1,"09/05/2020 05:00",465,8
1,"09/05/2020 06:00",472,8
1,"09/05/2020 07:00",493,8
1,"09/05/2020 08:00",432,7
1,"09/05/2020 09:00",443,7
1,"09/05/2020 10:00",415,7
1,"09/05/2020 11:00",553,9
1,"09/05/2020 12:00",415,7
1,"09/05/2020 13:00",432,7
1,"09/05/2020 14:00",459,8
1,"09/05/2020 15:00",516,9
1,"09/05/2020 16:00",494,8
1,"09/05/2020 17:00",528,9
1,"09/05/2020 18:00",506,9
1,"09/05/2020 19:00",551,9
1,"09/05/2020 20:00",526,9
1,"09/05/2020 21:00",513,9
1,"09/05/2020 22:00",519,9
1,"09/05/2020 23:00",566,10
1,"10/05/2020 00:00",538,9
1,"10/05/2020 01:00",543,9
1,"10/05/2020 02:00",531,9
1,"10/05/2020 03:00",490,8
1,"10/05/2020 04:00",503,8
1,"10/05/2020 05:00",483,8
1,"10/05/2020 06:00",501,8
1,"10/05/2020 07:00",657,11
1,"10/05/2020 08:00",468,8
1,"10/05/2020 09:00",448,7
1,"10/05/2020 10:00",390,6
1,"10/05/2020 11:00",401,7
1,"10/05/2020 12:00",383,6
1,"10/05/2020 13:00",383,6
1,"10/05/2020 14:00",395,7
1,"10/05/2020 15:00",410,7
1,"10/05/2020 16:00",407,7
1,"10/05/2020 17:00",416,7
1,"10/05/2020 18:00",426,7
1,"10/05/2020 19:00",571,10
1,"10/05/2020 20:00",393,7
1,"10/05/2020 21:00",396,7
1,"10/05/2020 22:00",397,7
1,"10/05/2020 23:00",430,7
1,"11/05/2020 00:00",384,6
1,"11/05/2020 01:00",413,7
1,"11/05/2020 02:00",413,7
1,"11/05/2020 03:00",384,6
1,"11/05/2020 04:00",389,6
1,"11/05/2020 05:00",391,7
1,"11/05/2020 06:00",435,7
1,"11/05/2020 07:00",427,7
1,"11/05/2020 08:00",446,7
1,"11/05/2020 09:00",421,7
1,"11/05/2020 10:00",425,7
1,"11/05/2020 11:00",412,7
1,"11/05/2020 12:00",427,7
1,"11/05/2020 13:00",462,8
1,"11/05/2020 14:00",504,8
1,"11/05/2020 15:00",549,9
1,"11/05/2020 16:00",602,10
1,"11/05/2020 17:00",598,10
1,"11/05/2020 18:00",576,10
1,"11/05/2020 19:00",526,9
1,"11/05/2020 20:00",559,9
1,"11/05/2020 21:00",529,9
1,"11/05/2020 22:00",523,9
1,"11/05/2020 23:00",774,13
1,"12/05/2020 00:00",531,9
1,"12/05/2020 01:00",554,9
1,"12/05/2020 02:00",472,8
1,"12/05/2020 03:00",418,7
1,"12/05/2020 04:00",452,8
1,"12/05/2020 05:00",393,7
1,"12/05/2020 06:00",419,7
1,"12/05/2020 07:00",403,7
1,"12/05/2020 08:00",416,7
1,"12/05/2020 09:00",396,7
1,"12/05/2020 10:00",405,7
1,"12/05/2020 11:00",455,8
1,"12/05/2020 12:00",453,8
1,"12/05/2020 13:00",466,8
1,"12/05/2020 14:00",490,8
1,"12/05/2020 15:00",546,9
1,"12/05/2020 16:00",610,10
1,"12/05/2020 17:00",603,10
1,"12/05/2020 18:00",580,10
1,"12/05/2020 19:00",554,9
1,"12/05/2020 20:00",611,10
1,"12/05/2020 21:00",560,9
1,"12/05/2020 22:00",545,9
1,"12/05/2020 23:00",802,13
1,"13/05/2020 00:00",559,9
1,"13/05/2020 01:00",544,9
1,"13/05/2020 02:00",444,7
1,"13/05/2020 03:00",410,7
1,"13/05/2020 04:00",410,7
1,"13/05/2020 05:00",400,7
1,"13/05/2020 06:00",459,8
1,"13/05/2020 07:00",471,8
1,"13/05/2020 08:00",438,7
1,"13/05/2020 09:00",423,7
1,"13/05/2020 10:00",420,7
1,"13/05/2020 11:00",443,7
1,"13/05/2020 12:00",467,8
1,"13/05/2020 13:00",496,8
1,"13/05/2020 14:00",561,9
1,"13/05/2020 15:00",584,10
1,"13/05/2020 16:00",604,10
1,"13/05/2020 17:00",577,10
1,"13/05/2020 18:00",567,9
1,"13/05/2020 19:00",517,9
1,"13/05/2020 20:00",564,9
1,"13/05/2020 21:00",587,10
1,"13/05/2020 22:00",525,9
1,"13/05/2020 23:00",727,12
1,"14/05/2020 00:00",570,10
1,"14/05/2020 01:00",763,13
1,"14/05/2020 02:00",475,8
1,"14/05/2020 03:00",429,7
1,"14/05/2020 04:00",414,7
1,"14/05/2020 05:00",422,7
1,"14/05/2020 06:00",449,7
1,"14/05/2020 07:00",413,7
1,"14/05/2020 08:00",406,7
1,"14/05/2020 09:00",423,7
1,"14/05/2020 10:00",399,7
1,"14/05/2020 11:00",394,7
1,"14/05/2020 12:00",423,7
1,"14/05/2020 13:00",459,8
1,"14/05/2020 14:00",488,8
1,"14/05/2020 15:00",528,9
1,"14/05/2020 16:00",567,9
1,"14/05/2020 17:00",581,10
1,"14/05/2020 18:00",577,10
1,"14/05/2020 19:00",575,10
1,"14/05/2020 20:00",559,9
1,"14/05/2020 21:00",567,9
1,"14/05/2020 22:00",541,9
1,"14/05/2020 23:00",785,13
1,"15/05/2020 00:00",575,10
1,"15/05/2020 01:00",507,8
1,"15/05/2020 02:00",471,8
1,"15/05/2020 03:00",435,7
1,"15/05/2020 04:00",430,7
1,"15/05/2020 05:00",413,7
1,"15/05/2020 06:00",433,7
1,"15/05/2020 07:00",422,7
1,"15/05/2020 08:00",411,7
1,"15/05/2020 09:00",398,7
1,"15/05/2020 10:00",399,7
1,"15/05/2020 11:00",394,7
1,"15/05/2020 12:00",405,7
1,"15/05/2020 13:00",431,7
1,"15/05/2020 14:00",467,8
1,"15/05/2020 15:00",516,9
1,"15/05/2020 16:00",551,9
1,"15/05/2020 17:00",528,9
1,"15/05/2020 18:00",563,9
1,"15/05/2020 19:00",732,12
1,"15/05/2020 20:00",593,10
1,"15/05/2020 21:00",617,10
1,"15/05/2020 22:00",590,10
1,"15/05/2020 23:00",841,14
1,"16/05/2020 00:00",674,11
1,"16/05/2020 01:00",666,11
1,"16/05/2020 02:00",555,9
1,"16/05/2020 03:00",511,9
1,"16/05/2020 04:00",500,8
1,"16/05/2020 05:00",498,8
1,"16/05/2020 06:00",516,9
1,"16/05/2020 07:00",533,9
1,"16/05/2020 08:00",467,8
1,"16/05/2020 09:00",430,7
1,"16/05/2020 10:00",428,7
1,"16/05/2020 11:00",435,7
1,"16/05/2020 12:00",423,7
1,"16/05/2020 13:00",450,7
1,"16/05/2020 14:00",550,9
1,"16/05/2020 15:00",524,9
1,"16/05/2020 16:00",504,8
1,"16/05/2020 17:00",540,9
1,"16/05/2020 18:00",544,9
1,"16/05/2020 19:00",770,13
1,"16/05/2020 20:00",537,9
1,"16/05/2020 21:00",522,9
1,"16/05/2020 22:00",491,8
1,"16/05/2020 23:00",546,9
1,"17/05/2020 00:00",463,8
1,"17/05/2020 01:00",508,8
1,"17/05/2020 02:00",491,8
1,"17/05/2020 03:00",455,8
1,"17/05/2020 04:00",417,7
1,"17/05/2020 05:00",384,6
1,"17/05/2020 06:00",409,7
1,"17/05/2020 07:00",445,7
1,"17/05/2020 08:00",409,7
1,"17/05/2020 09:00",379,6
1,"17/05/2020 10:00",364,6
1,"17/05/2020 11:00",403,7
1,"17/05/2020 12:00",332,6
1,"17/05/2020 13:00",343,6
1,"17/05/2020 14:00",350,6
1,"17/05/2020 15:00",412,7
1,"17/05/2020 16:00",371,6
1,"17/05/2020 17:00",384,6
1,"17/05/2020 18:00",385,6
1,"17/05/2020 19:00",603,10
1,"17/05/2020 20:00",382,6
1,"17/05/2020 21:00",380,6
1,"17/05/2020 22:00",384,6
1,"17/05/2020 23:00",442,7
1,"18/05/2020 00:00",368,6
1,"18/05/2020 01:00",436,7
1,"18/05/2020 02:00",441,7
1,"18/05/2020 03:00",418,7
1,"18/05/2020 04:00",428,7
1,"18/05/2020 05:00",418,7
1,"18/05/2020 06:00",468,8
1,"18/05/2020 07:00",462,8
1,"18/05/2020 08:00",429,7
1,"18/05/2020 09:00",390,6
1,"18/05/2020 10:00",385,6
1,"18/05/2020 11:00",358,6
1,"18/05/2020 12:00",381,6
1,"18/05/2020 13:00",410,7
1,"18/05/2020 14:00",430,7
1,"18/05/2020 15:00",460,8
1,"18/05/2020 16:00",478,8
1,"18/05/2020 17:00",485,8
1,"18/05/2020 18:00",459,8
1,"18/05/2020 19:00",495,8
1,"18/05/2020 20:00",489,8
1,"18/05/2020 21:00",452,8
1,"18/05/2020 22:00",483,8
1,"18/05/2020 23:00",739,12
1,"19/05/2020 00:00",620,10
1,"19/05/2020 01:00",503,8
1,"19/05/2020 02:00",506,8
1,"19/05/2020 03:00",421,7
1,"19/05/2020 04:00",387,6
1,"19/05/2020 05:00",380,6
1,"19/05/2020 06:00",392,7
1,"19/05/2020 07:00",395,7
1,"19/05/2020 08:00",379,6
1,"19/05/2020 09:00",378,6
1,"19/05/2020 10:00",379,6
1,"19/05/2020 11:00",383,6
1,"19/05/2020 12:00",404,7
1,"19/05/2020 13:00",458,8
1,"19/05/2020 14:00",519,9
1,"19/05/2020 15:00",579,10
1,"19/05/2020 16:00",569,9
1,"19/05/2020 17:00",532,9
1,"19/05/2020 18:00",522,9
1,"19/05/2020 19:00",500,8
1,"19/05/2020 20:00",496,8
1,"19/05/2020 21:00",519,9
1,"19/05/2020 22:00",548,9
