
"INPUT_TYPE","START_TIME","ELAPSED_SECONDS"
"DB FULL","26/10/2021 00:10",7734
"DB FULL","27/10/2021 00:10",7895
"DB FULL","28/10/2021 00:10",7733
"DB FULL","29/10/2021 00:10",3940
"DB FULL","02/11/2021 00:10",2681
"DB FULL","03/11/2021 00:10",2703
"DB FULL","10/11/2021 00:10",2251
"DB FULL","12/11/2021 00:10",1730
"DB FULL","15/11/2021 00:10",1727
"DB FULL","29/11/2021 00:10",1649
"DB FULL","03/12/2021 00:10",1727
"DB FULL","12/12/2021 23:30",1717
"DB FULL","14/12/2021 00:10",1758
"DB FULL","15/12/2021 00:10",1627
"DB FULL","20/12/2021 00:10",1799
"DB FULL","21/12/2021 00:10",1947
"DB FULL","23/12/2021 00:10",1848
