"SNAP_ID","NODE","TO_CHAR(BEGIN_INTERVAL_TIME,'DD/MM/YYYYHH24:MI')","SQL_ID","PLAN_HASH_VALUE","EXECS","AVG_CPUTIME","AVG_ETIME","AVG_LIO","AVG_CLUSTER","ROWS_EXEC"
80210,"1","25/10/2020 22:00","1n32hnmxv1kgj",307274740,"6,934","2.146","2.157",".0",".00508",84.2926161
80210,"2","25/10/2020 22:00","1n32hnmxv1kgj",307274740,"4,778","2.140","2.150","179,973.5",".00728",85.6887819
80211,"1","25/10/2020 23:00","1n32hnmxv1kgj",307274740,"6,738","2.461","2.498","181,322.4",".00496",85.6751262
80211,"2","25/10/2020 23:00","1n32hnmxv1kgj",307274740,"4,620","2.303","2.315","179,444.6",".00655",85.4885281
80212,"1","26/10/2020 00:00","1n32hnmxv1kgj",307274740,"6,151","2.498","2.510","155,922.3",".00491",80.3791253
80212,"2","26/10/2020 00:00","1n32hnmxv1kgj",307274740,"4,400","2.248","2.257","156,859.6",".00637",79.8456818
80213,"1","26/10/2020 01:00","1n32hnmxv1kgj",307274740,"7,166","1.736","1.749","110,165.1",".00446",55.5704717
80213,"2","26/10/2020 01:00","1n32hnmxv1kgj",307274740,"5,067","1.569","1.583","110,893.7",".00660",55.8160647
80214,"1","26/10/2020 02:00","1n32hnmxv1kgj",307274740,"8,894","2.439","2.457","154,570.2",".00515",72.6834945
80214,"2","26/10/2020 02:00","1n32hnmxv1kgj",307274740,"6,062","2.185","2.201","155,751.2",".00704",72.4196635
80215,"1","26/10/2020 03:00","1n32hnmxv1kgj",307274740,"8,273","2.456","2.467",".0",".00453",71.7505137
80215,"2","26/10/2020 03:00","1n32hnmxv1kgj",307274740,"5,759","2.197","2.207","164,587.0",".00649",71.7739191
80216,"1","26/10/2020 04:00","1n32hnmxv1kgj",307274740,"8,774","2.457","2.469","158,738.6",".00423",73.3879644
80216,"2","26/10/2020 04:00","1n32hnmxv1kgj",307274740,"5,985","2.209","2.219","161,202.7",".00644",74.3961571
80217,"1","26/10/2020 05:00","1n32hnmxv1kgj",307274740,"6,888","2.210","2.222","129,957.4",".00475",68.1607143
80217,"2","26/10/2020 05:00","1n32hnmxv1kgj",307274740,"4,828","1.977","1.986",".0",".00520",68.0573737
80218,"1","26/10/2020 06:00","1n32hnmxv1kgj",307274740,"6,931","2.423","2.437","157,134.9",".00546",71.185976
80218,"2","26/10/2020 06:00","1n32hnmxv1kgj",307274740,"4,779","2.194","2.207","158,651.3",".00657",71.9497803
80219,"1","26/10/2020 07:00","1n32hnmxv1kgj",307274740,"8,293","2.571","2.589",".0",".00607",75.9930061
80219,"2","26/10/2020 07:00","1n32hnmxv1kgj",307274740,"5,899","2.359","2.375","168,391.7",".00749",76.434989
80220,"1","26/10/2020 08:00","1n32hnmxv1kgj",307274740,"8,343","2.631","2.652","169,431.5",".00481",77.4162771
80220,"2","26/10/2020 08:00","1n32hnmxv1kgj",307274740,"5,813","2.396","2.409","172,232.0",".00672",77.5098916
80221,"1","26/10/2020 09:00","1n32hnmxv1kgj",307274740,"8,207","2.428","2.440","140,921.3",".00454",71.0086512
80221,"2","26/10/2020 09:00","1n32hnmxv1kgj",307274740,"5,625","2.182","2.192","142,984.3",".00617",71.5358222
80222,"1","26/10/2020 10:00","1n32hnmxv1kgj",307274740,"4,707","2.081","2.092","139,909.6",".00531",78.4053537
