"TABLESPACE_NAME","MB"
"SYSTEM",73728
"UNDOTBS2",63487
"COREM2M_INDX",71680
"HISTO_DATA_05",1540049
"HISTO_DATA_09",1430340
"HISTO_DATA_12",1676100
"SYSAUX",76800
"UNDOTBS1",63420
"HISTO_INDX_08",1099170
"HISTO_DATA_02",1430340
"HISTO_DATA_10",1583940
"HISTO_INDX_05",880140
"COREM2M_DATA",813056
"M2M_QUARTZ",1024
"HISTO_DATA_07",1368900
"HISTO_DATA_11",1614660
"HISTO_INDX_04",860160
"AUD_TBS",5120
"CONFLUENCE_DATA",2816
"HISTO_DATA_01",1499040
"HISTO_INDX_06",992870
"HISTO_INDX_10",1156110
"HISTO_INDX_12",1278990
"USERS",30720
"HISTO_DATA_03",1558089
"HISTO_INDX_01",817290
"HISTO_INDX_03",876440
"HISTO_INDX_07",1090150
"HISTO_INDX_09",1129890
"CONFLUENCE_INDX",512
"HISTO_DATA_08",1399620
"SOPORTE",10240
"HISTO_DATA_04",1485340
"HISTO_DATA_06",1522500
"HISTO_INDX_02",822240
"HISTO_INDX_11",1217550
