"INST_ID","BEGIN_SNAP","Event","Time"
1,"25/10/2020 23:00","DB CPU",37915.58
1,"25/10/2020 23:00","log file sync",6662.98
1,"25/10/2020 23:00","gc cr block 2-way",1058.74
1,"25/10/2020 23:00","gc current block busy",437.7
1,"25/10/2020 23:00","enq: TX - row lock contention",161.53
1,"26/10/2020 00:00","DB CPU",35736.18
1,"26/10/2020 00:00","log file sync",6675.92
1,"26/10/2020 00:00","gc cr block 2-way",1067.34
1,"26/10/2020 00:00","gc current block busy",440.99
1,"26/10/2020 00:00","enq: TX - row lock contention",154.77
1,"26/10/2020 01:00","DB CPU",34183.58
1,"26/10/2020 01:00","log file sync",6687.28
1,"26/10/2020 01:00","gc cr block 2-way",1178.35
1,"26/10/2020 01:00","gc current block busy",495.39
1,"26/10/2020 01:00","enq: TX - row lock contention",218.79
1,"26/10/2020 02:00","DB CPU",42847.19
1,"26/10/2020 02:00","log file sync",6338.51
1,"26/10/2020 02:00","gc cr block 2-way",1205.19
1,"26/10/2020 02:00","gc current block busy",514.26
1,"26/10/2020 02:00","enq: TX - row lock contention",195.79
1,"26/10/2020 03:00","DB CPU",40011.41
1,"26/10/2020 03:00","log file sync",5820.9
1,"26/10/2020 03:00","gc cr block 2-way",1096.26
1,"26/10/2020 03:00","gc current block busy",465.35
1,"26/10/2020 03:00","enq: TX - row lock contention",177.85
1,"26/10/2020 04:00","DB CPU",40536.1
1,"26/10/2020 04:00","log file sync",6256.54
1,"26/10/2020 04:00","gc cr block 2-way",1067
1,"26/10/2020 04:00","gc current block busy",451.15
1,"26/10/2020 04:00","enq: TX - row lock contention",92.31
1,"26/10/2020 05:00","DB CPU",34897.51
1,"26/10/2020 05:00","log file sync",6168.41
1,"26/10/2020 05:00","gc cr block 2-way",1095.43
1,"26/10/2020 05:00","gc current block busy",462.77
1,"26/10/2020 05:00","enq: TX - row lock contention",120.72
1,"26/10/2020 06:00","DB CPU",36834.23
1,"26/10/2020 06:00","log file sync",5672.53
1,"26/10/2020 06:00","gc cr block 2-way",1112.52
1,"26/10/2020 06:00","gc current block busy",458.1
1,"26/10/2020 06:00","enq: TX - row lock contention",159.08
1,"26/10/2020 07:00","DB CPU",41009.96
1,"26/10/2020 07:00","log file sync",5803.89
1,"26/10/2020 07:00","gc cr block 2-way",1143.01
1,"26/10/2020 07:00","gc current block busy",473.07
1,"26/10/2020 07:00","enq: TX - row lock contention",309.13
1,"26/10/2020 08:00","DB CPU",42367.8
1,"26/10/2020 08:00","log file sync",7052.34
1,"26/10/2020 08:00","gc cr block 2-way",1081.66
