
"SYSDATE","INST_ID","MACHINE","PGA_USED_MEM_MB","PGA_ALLOC_MEM_MB"
"26/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"26/04/2021",2,"radiusbr05",4,4
"26/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"26/04/2021",2,"coresup2dbadm01.om.dsn.inet",5,51
"26/04/2021",1,"portalweb1",10,15
"26/04/2021",1,"corerec5",15,18
"26/04/2021",1,"portalapi1",17,20
"26/04/2021",2,"portalweb1",27,45
"26/04/2021",2,"portalapi1",30,37
"26/04/2021",2,"portalweb2",34,52
"26/04/2021",1,"corerec4",38,48
"26/04/2021",1,"smshr2",41,56
"26/04/2021",2,"portalapi2",45,53
"26/04/2021",1,"corediam5",49,55
"26/04/2021",1,"smshr1",55,75
"26/04/2021",2,"confluence1",60,66
"26/04/2021",1,"confluence1",68,76
"26/04/2021",2,"corerec1",71,83
"26/04/2021",2,"corerec3",74,82
"26/04/2021",2,"corerec2",78,86
"26/04/2021",2,"coreevents2",80,91
"26/04/2021",1,"corerec2",81,94
"26/04/2021",1,"coreevents2",84,96
"26/04/2021",2,"opsm2m11.ah-internode.dsn.inet",85,99
"26/04/2021",1,"corerec1",88,104
"26/04/2021",2,"smshr1",88,104
"26/04/2021",1,"corerec3",88,101
"26/04/2021",2,"coreevents1",91,101
"26/04/2021",1,"coreserv1",93,108
"26/04/2021",1,"opsm2m11.ah-internode.dsn.inet",96,112
"26/04/2021",1,"coreevents1",100,110
"26/04/2021",1,"coresupoem",106,119
"26/04/2021",2,"smshr2",110,133
"26/04/2021",2,"corerec4",123,137
"26/04/2021",1,"coreradius2",130,167
"26/04/2021",2,"coresupoem",136,139
"26/04/2021",1,"corediam3",141,151
"26/04/2021",2,"corework1",142,212
"26/04/2021",2,"corerec5",146,167
"26/04/2021",2,"corework2",150,229
"26/04/2021",2,"radiusbr01",185,219
"26/04/2021",2,"radiusbr03",186,219
"26/04/2021",2,"radiusbr02",189,222
"26/04/2021",1,"radiusbr01",196,225
"26/04/2021",1,"coreserv2",200,230
"26/04/2021",2,"coreradius3",217,283
"26/04/2021",1,"radiusbr02",220,254
"26/04/2021",1,"coreradius3",221,283
"26/04/2021",1,"radiusbr03",229,262
"26/04/2021",2,"coreradius4",285,365
"26/04/2021",2,"coreradius5",300,385
"26/04/2021",1,"coreradius4",307,385
"26/04/2021",2,"coreradius2",323,418
"26/04/2021",1,"radiusbr05",325,373
"26/04/2021",1,"coreradius5",348,438
"26/04/2021",2,"coreserv3",361,430
"26/04/2021",2,"corework3",368,491
"26/04/2021",1,"corework3",374,507
"26/04/2021",1,"radiusbr04",414,474
"26/04/2021",2,"coreradius1",446,579
"26/04/2021",1,"corediam6",454,488
"26/04/2021",2,"corediam12",467,497
"26/04/2021",2,"diamsp03",471,651
"26/04/2021",2,"corediam4",473,507
"26/04/2021",2,"corediam13",476,508
"26/04/2021",2,"diamsp11",477,660
"26/04/2021",2,"corediam14",479,511
"26/04/2021",1,"coreserv3",496,564
"26/04/2021",1,"diamsp11",527,701
"26/04/2021",1,"corediam14",528,567
"26/04/2021",1,"corediam13",532,571
"26/04/2021",1,"diamsp03",533,709
"26/04/2021",1,"corediam4",536,576
"26/04/2021",1,"corediam12",542,583
"26/04/2021",2,"corediam6",547,585
"26/04/2021",2,"coreserv2",600,708
"26/04/2021",1,"corework2",609,823
"26/04/2021",2,"coreserv1",701,830
"26/04/2021",2,"corediam3",831,889
"26/04/2021",2,"corediam5",914,975
"26/04/2021",2,"diamsp12",954,1317
"26/04/2021",2,"corediam16",957,1027
"26/04/2021",2,"corediam15",958,1027
"26/04/2021",2,"corediam11",959,1023
"26/04/2021",1,"diamsp13",1052,1399
"26/04/2021",1,"diamsp01",1054,1408
"26/04/2021",1,"diamsp02",1054,1408
"26/04/2021",1,"corediam2",1056,1150
"26/04/2021",1,"corediam1",1057,1137
"26/04/2021",1,"coresup2dbadm01.om.dsn.inet",1459,2009
"26/04/2021",1,"corework1",1486,1777
"26/04/2021",2,"coresup2dbadm02.om.dsn.inet",1665,2207
"27/04/2021",2,"pc-512695",2,9
"27/04/2021",2,"diamsp13",3,4
"27/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"27/04/2021",1,"diamsp12",4,5
"27/04/2021",2,"coresup2dbadm01.om.dsn.inet",5,46
"27/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"27/04/2021",1,"WORKGROUP\FJM-LENOVO",6,7
"27/04/2021",2,"coresupoem",7,8
"27/04/2021",1,"portalweb1",10,15
"27/04/2021",2,"corediam1",13,14
"27/04/2021",1,"portalapi1",17,20
"27/04/2021",1,"corerec5",19,23
"27/04/2021",2,"portalweb1",28,46
"27/04/2021",1,"coresupoem",29,35
"27/04/2021",2,"portalapi1",30,37
"27/04/2021",1,"corerec4",39,49
"27/04/2021",2,"radiusbr04",39,42
"27/04/2021",2,"portalweb2",40,65
"27/04/2021",1,"smshr2",41,56
"27/04/2021",2,"portalapi2",45,53
"27/04/2021",1,"PC-519403",58,71
"27/04/2021",1,"smshr1",59,79
"27/04/2021",1,"corediam5",64,70
"27/04/2021",1,"confluence1",64,72
"27/04/2021",2,"confluence1",68,77
"27/04/2021",1,"corediam15",70,77
"27/04/2021",2,"coreevents2",76,84
"27/04/2021",2,"corerec3",77,91
"27/04/2021",2,"corerec1",78,92
"27/04/2021",1,"coreevents1",79,88
"27/04/2021",2,"coreevents1",82,92
"27/04/2021",1,"corediam16",84,93
"27/04/2021",2,"opsm2m11.ah-internode.dsn.inet",85,99
"27/04/2021",1,"coreevents2",86,100
"27/04/2021",2,"smshr1",89,104
"27/04/2021",2,"corerec2",89,103
"27/04/2021",1,"corerec3",92,114
"27/04/2021",1,"corediam11",95,105
"27/04/2021",1,"opsm2m11.ah-internode.dsn.inet",97,112
"27/04/2021",1,"corerec2",100,123
"27/04/2021",1,"corerec1",104,128
"27/04/2021",2,"smshr2",110,133
"27/04/2021",2,"corerec4",131,149
"27/04/2021",1,"coreradius2",137,175
"27/04/2021",1,"corediam3",142,154
"27/04/2021",2,"corerec5",156,184
"27/04/2021",2,"corework1",162,241
"27/04/2021",2,"radiusbr05",176,192
"27/04/2021",2,"coreradius4",182,220
"27/04/2021",2,"radiusbr03",201,248
"27/04/2021",2,"radiusbr02",206,256
"27/04/2021",1,"radiusbr05",208,227
"27/04/2021",1,"coreradius4",209,247
"27/04/2021",1,"radiusbr01",222,268
"27/04/2021",2,"coreradius3",235,300
"27/04/2021",1,"coreradius3",235,299
"27/04/2021",1,"radiusbr02",240,291
"27/04/2021",2,"radiusbr01",240,290
"27/04/2021",1,"radiusbr03",244,291
"27/04/2021",2,"coreradius5",331,422
"27/04/2021",2,"coreradius2",351,447
"27/04/2021",1,"coreserv1",359,417
"27/04/2021",2,"coreserv3",368,436
"27/04/2021",1,"coreradius5",376,473
"27/04/2021",2,"coreserv2",399,478
"27/04/2021",1,"corediam6",458,498
"27/04/2021",2,"corediam12",464,502
"27/04/2021",1,"radiusbr04",465,565
"27/04/2021",2,"diamsp03",476,654
"27/04/2021",2,"coreradius1",480,612
"27/04/2021",2,"corediam4",480,527
"27/04/2021",2,"diamsp11",481,663
"27/04/2021",2,"corework3",481,664
"27/04/2021",2,"corediam13",482,525
"27/04/2021",2,"corediam14",486,526
"27/04/2021",1,"coreserv3",498,583
"27/04/2021",1,"corediam14",529,574
"27/04/2021",1,"diamsp11",530,705
"27/04/2021",1,"corediam13",532,580
"27/04/2021",1,"corediam4",537,587
"27/04/2021",1,"diamsp03",538,714
"27/04/2021",2,"corediam6",550,600
"27/04/2021",1,"corediam12",554,600
"27/04/2021",1,"coreserv2",559,642
"27/04/2021",2,"coreserv1",577,676
"27/04/2021",1,"corework2",735,984
"27/04/2021",2,"corediam3",837,912
"27/04/2021",2,"corediam11",878,949
"27/04/2021",1,"corework3",885,10764
"27/04/2021",2,"corediam16",888,974
"27/04/2021",2,"corediam15",901,979
"27/04/2021",2,"corediam5",907,982
"27/04/2021",2,"corework2",927,9596
"27/04/2021",2,"diamsp12",960,1320
"27/04/2021",1,"corediam1",1052,1148
"27/04/2021",1,"diamsp13",1057,1404
"27/04/2021",1,"diamsp01",1061,1417
"27/04/2021",1,"diamsp02",1061,1414
"27/04/2021",1,"corediam2",1064,1174
"27/04/2021",1,"corework1",1251,5894
"27/04/2021",1,"coresup2dbadm01.om.dsn.inet",1502,2059
"27/04/2021",2,"coresup2dbadm02.om.dsn.inet",1692,2190
"28/04/2021",1,"coreradius1",3,5
"28/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"28/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"28/04/2021",2,"coresup2dbadm01.om.dsn.inet",5,53
"28/04/2021",1,"PC-519403",6,9
"28/04/2021",1,"WORKGROUP\FJM-LENOVO",6,7
"28/04/2021",1,"portalweb1",10,15
"28/04/2021",2,"coresupoem",15,17
"28/04/2021",1,"portalapi1",17,20
"28/04/2021",2,"portalweb1",28,46
"28/04/2021",2,"portalapi1",30,37
"28/04/2021",1,"coresupoem",34,42
"28/04/2021",1,"corerec4",39,50
"28/04/2021",2,"portalweb2",40,66
"28/04/2021",1,"smshr2",41,56
"28/04/2021",1,"corerec5",42,54
"28/04/2021",2,"portalapi2",45,53
"28/04/2021",1,"smshr1",59,79
"28/04/2021",2,"opsm2m11.ah-internode.dsn.inet",61,68
"28/04/2021",1,"opsm2m11.ah-internode.dsn.inet",62,68
"28/04/2021",1,"confluence1",63,70
"28/04/2021",2,"confluence1",64,70
"28/04/2021",2,"radiusbr04",70,81
"28/04/2021",2,"coreevents2",76,85
"28/04/2021",1,"coreevents1",79,88
"28/04/2021",2,"coreserv1",82,94
"28/04/2021",2,"coreevents1",83,93
"28/04/2021",2,"corerec1",85,104
"28/04/2021",2,"corerec3",85,102
"28/04/2021",1,"coreevents2",87,100
"28/04/2021",2,"smshr1",88,104
"28/04/2021",2,"corerec2",90,106
"28/04/2021",1,"corerec3",93,119
"28/04/2021",1,"corerec2",106,129
"28/04/2021",2,"smshr2",110,133
"28/04/2021",1,"corerec1",116,148
"28/04/2021",1,"coreradius2",134,167
"28/04/2021",2,"corerec4",136,160
"28/04/2021",2,"corework1",153,210
"28/04/2021",2,"corerec5",178,218
"28/04/2021",2,"coreradius4",223,281
"28/04/2021",2,"coreradius3",239,302
"28/04/2021",1,"radiusbr01",240,293
"28/04/2021",2,"radiusbr05",243,297
"28/04/2021",1,"coreradius4",243,304
"28/04/2021",1,"coreradius3",245,306
"28/04/2021",2,"corediam11",249,265
"28/04/2021",1,"radiusbr02",259,315
"28/04/2021",2,"radiusbr02",275,333
"28/04/2021",1,"coreradius5",281,352
"28/04/2021",1,"radiusbr03",285,343
"28/04/2021",2,"coreradius5",288,367
"28/04/2021",2,"radiusbr03",289,348
"28/04/2021",2,"radiusbr01",292,356
"28/04/2021",1,"coreserv1",302,345
"28/04/2021",1,"radiusbr05",310,369
"28/04/2021",1,"corediam13",316,340
"28/04/2021",2,"coreradius2",370,467
"28/04/2021",1,"corediam4",458,491
"28/04/2021",2,"corediam6",478,511
"28/04/2021",2,"corediam5",479,511
"28/04/2021",2,"corework2",483,9264
"28/04/2021",2,"coreradius1",495,623
"28/04/2021",1,"corework2",500,646
"28/04/2021",1,"radiusbr04",515,627
"28/04/2021",1,"corediam5",528,567
"28/04/2021",1,"corediam6",528,568
"28/04/2021",2,"corediam4",542,579
"28/04/2021",2,"coreserv3",579,613
"28/04/2021",1,"corework3",582,791
"28/04/2021",2,"coreserv2",600,648
"28/04/2021",2,"corediam13",669,713
"28/04/2021",2,"corework3",671,4874
"28/04/2021",1,"corediam11",781,841
"28/04/2021",2,"diamsp12",943,1299
"28/04/2021",2,"diamsp11",945,1302
"28/04/2021",2,"corediam16",945,1013
"28/04/2021",2,"diamsp03",946,1307
"28/04/2021",2,"corediam15",951,1015
"28/04/2021",2,"corediam12",953,1021
"28/04/2021",2,"corediam3",956,1022
"28/04/2021",1,"diamsp02",1048,1399
"28/04/2021",1,"diamsp13",1048,1399
"28/04/2021",1,"diamsp01",1050,1402
"28/04/2021",1,"corediam14",1053,1134
"28/04/2021",1,"corediam2",1055,1138
"28/04/2021",1,"corediam1",1056,1141
"28/04/2021",1,"coresup2dbadm01.om.dsn.inet",1709,2382
"28/04/2021",2,"coresup2dbadm02.om.dsn.inet",2019,2661
"28/04/2021",1,"corework1",2667,11727
"29/04/2021",1,"corediam16",3,4
"29/04/2021",2,"portalapi1",3,3
"29/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"29/04/2021",1,"PC-519403",5,6
"29/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"29/04/2021",2,"coresupoem",7,8
"29/04/2021",2,"coresup2dbadm01.om.dsn.inet",8,46
"29/04/2021",1,"portalweb2",8,10
"29/04/2021",1,"radiusbr05",8,9
"29/04/2021",1,"coreserv1",10,12
"29/04/2021",1,"coreevents1",14,15
"29/04/2021",2,"portalweb2",14,19
"29/04/2021",1,"portalweb1",18,24
"29/04/2021",2,"corerec3",19,22
"29/04/2021",2,"portalapi2",21,23
"29/04/2021",2,"opsm2m11.ah-internode.dsn.inet",21,24
"29/04/2021",2,"corerec4",23,27
"29/04/2021",2,"portalweb1",24,35
"29/04/2021",1,"opsm2m11.ah-internode.dsn.inet",24,27
"29/04/2021",1,"corediam15",25,27
"29/04/2021",1,"portalapi2",28,31
"29/04/2021",1,"coresupoem",29,35
"29/04/2021",1,"corerec1",32,38
"29/04/2021",1,"smshr2",41,56
"29/04/2021",1,"portalapi1",46,51
"29/04/2021",2,"coreradius3",50,64
"29/04/2021",1,"corediam14",53,57
"29/04/2021",2,"confluence1",55,61
"29/04/2021",1,"smshr1",62,84
"29/04/2021",1,"coreevents2",69,76
"29/04/2021",1,"corerec2",70,89
"29/04/2021",1,"confluence1",74,82
"29/04/2021",1,"coreserv3",87,99
"29/04/2021",2,"coreradius4",90,118
"29/04/2021",2,"corerec2",92,107
"29/04/2021",2,"smshr1",101,118
"29/04/2021",2,"smshr2",110,133
"29/04/2021",2,"radiusbr04",119,136
"29/04/2021",2,"coreserv3",123,135
"29/04/2021",2,"corerec1",126,148
"29/04/2021",2,"coreevents2",134,148
"29/04/2021",1,"corerec4",137,155
"29/04/2021",2,"diamsp13",140,193
"29/04/2021",1,"corerec3",141,163
"29/04/2021",2,"corerec5",146,167
"29/04/2021",2,"coreevents1",179,197
"29/04/2021",2,"radiusbr01",190,214
"29/04/2021",1,"radiusbr02",193,215
"29/04/2021",1,"coreradius1",208,263
"29/04/2021",2,"corediam12",211,226
"29/04/2021",2,"diamsp12",213,294
"29/04/2021",1,"coreserv2",216,264
