INSTANCE,DATETIME,VALUE
1,"01/10/2021 00:00",7863978
1,"01/10/2021 01:01",7261681
1,"01/10/2021 02:00",7181485
1,"01/10/2021 03:00",7182833
1,"01/10/2021 04:00",6847901
1,"01/10/2021 05:00",6951125
1,"01/10/2021 06:00",7005172
1,"01/10/2021 07:01",6664068
1,"01/10/2021 08:00",6701094
1,"01/10/2021 09:01",6660142
1,"01/10/2021 10:00",6986381
1,"01/10/2021 11:00",7246745
1,"01/10/2021 12:00",7901229
1,"01/10/2021 13:00",8055704
1,"01/10/2021 14:00",8108175
1,"01/10/2021 15:00",8171893
1,"01/10/2021 16:00",8781322
1,"01/10/2021 17:00",8297534
1,"01/10/2021 18:00",8680107
1,"01/10/2021 19:00",8459441
1,"01/10/2021 20:01",8369914
1,"01/10/2021 21:00",8103193
1,"01/10/2021 22:01",8090124
1,"01/10/2021 23:00",7890814
1,"02/10/2021 00:01",7882313
1,"02/10/2021 01:00",7495285
1,"02/10/2021 02:00",7357138
1,"02/10/2021 03:00",7020670
1,"02/10/2021 04:00",7069886
1,"02/10/2021 05:00",7024303
1,"02/10/2021 06:01",6828815
1,"02/10/2021 07:00",6597789
1,"02/10/2021 08:00",6507167
1,"02/10/2021 09:01",6692554
1,"02/10/2021 10:00",6738257
1,"02/10/2021 11:01",6256369
1,"02/10/2021 12:00",7129889
1,"02/10/2021 13:00",7554539
1,"02/10/2021 14:00",7697671
1,"02/10/2021 15:00",7215656
1,"02/10/2021 16:00",7391732
1,"02/10/2021 17:01",7411883
1,"02/10/2021 18:00",7714391
1,"02/10/2021 19:01",7125430
1,"02/10/2021 20:00",7000765
1,"02/10/2021 21:00",7099237
1,"02/10/2021 22:01",6770453
1,"02/10/2021 23:00",6828879
1,"03/10/2021 00:01",6790969
1,"03/10/2021 01:00",7082971
1,"03/10/2021 02:00",6874259
1,"03/10/2021 03:00",6790621
1,"03/10/2021 04:00",6682155
1,"03/10/2021 05:00",6663532
1,"03/10/2021 06:01",6176025
1,"03/10/2021 07:00",6220089
1,"03/10/2021 08:01",6142183
1,"03/10/2021 09:00",6559053
1,"03/10/2021 10:00",6088984
1,"03/10/2021 11:00",5953913
1,"03/10/2021 12:00",6193482
1,"03/10/2021 13:00",6722069
1,"03/10/2021 14:01",6843020
1,"03/10/2021 15:00",6469709
1,"03/10/2021 16:00",6615157
1,"03/10/2021 17:00",6817416
1,"03/10/2021 18:00",7016632
1,"03/10/2021 19:01",6679046
1,"03/10/2021 20:00",6686686
1,"03/10/2021 21:01",6554468
1,"03/10/2021 22:00",7019118
1,"03/10/2021 23:00",6434272
1,"04/10/2021 00:00",6418322
1,"04/10/2021 01:00",5863898
1,"04/10/2021 02:00",5820133
1,"04/10/2021 03:01",5609811
1,"04/10/2021 04:00",5707877
1,"04/10/2021 05:01",5582822
1,"04/10/2021 06:00",5827034
1,"04/10/2021 07:00",5610450
1,"04/10/2021 08:01",5605427
1,"04/10/2021 09:00",5736731
1,"04/10/2021 10:01",5929900
1,"04/10/2021 11:00",6114684
1,"04/10/2021 12:00",6394750
1,"04/10/2021 13:00",6784380
1,"04/10/2021 14:00",6920561
1,"04/10/2021 15:00",6711203
1,"04/10/2021 16:01",6929379
1,"04/10/2021 17:00",7224108
1,"04/10/2021 18:01",7060036
1,"04/10/2021 19:00",7451469
1,"04/10/2021 20:00",7292186
1,"04/10/2021 21:01",7382670
1,"04/10/2021 22:00",7724675
1,"04/10/2021 23:01",6801871
1,"05/10/2021 00:00",7337949
1,"05/10/2021 01:00",3961402
1,"05/10/2021 02:01",3830105
1,"05/10/2021 03:00",5753223
1,"05/10/2021 04:00",5885385
1,"05/10/2021 05:00",7664955
1,"05/10/2021 06:00",5636570
1,"05/10/2021 07:00",5215968
1,"05/10/2021 08:01",5321505
1,"05/10/2021 09:00",5107385
1,"05/10/2021 10:01",5183343
1,"05/10/2021 11:00",5397434
1,"05/10/2021 12:00",5312418
1,"05/10/2021 13:01",5750884
1,"05/10/2021 14:00",6104914
1,"05/10/2021 15:01",6235036
1,"05/10/2021 16:00",6995714
1,"05/10/2021 17:00",5935867
1,"05/10/2021 18:00",6246660
1,"05/10/2021 19:00",5699791
1,"05/10/2021 20:00",5716568
1,"05/10/2021 21:01",5532716
1,"05/10/2021 22:00",6152456
1,"05/10/2021 23:00",5915626
1,"06/10/2021 00:00",5899967
1,"06/10/2021 01:00",5617658
1,"06/10/2021 02:01",4934145
1,"06/10/2021 03:00",4855744
1,"06/10/2021 04:01",4839735
1,"06/10/2021 05:00",5645265
1,"06/10/2021 06:00",5039579
1,"06/10/2021 07:00",5538282
1,"06/10/2021 08:00",5413357
1,"06/10/2021 09:00",4429117
1,"06/10/2021 09:49",35519
1,"06/10/2021 09:50",6346865
1,"06/10/2021 11:00",5226625
1,"06/10/2021 12:00",5279295
1,"06/10/2021 13:00",5784196
1,"06/10/2021 14:00",6209782
1,"06/10/2021 15:01",6287849
1,"06/10/2021 16:00",6248839
1,"06/10/2021 17:01",6166037
1,"06/10/2021 18:01",5900103
1,"06/10/2021 19:00",5872195
1,"06/10/2021 20:01",6189570
1,"06/10/2021 21:00",6275503
1,"06/10/2021 22:00",6034111
1,"06/10/2021 23:00",6157320
1,"07/10/2021 00:00",5796008
1,"07/10/2021 01:01",5339769
1,"07/10/2021 02:00",5346807
1,"07/10/2021 03:00",5234225
1,"07/10/2021 04:00",5331952
1,"07/10/2021 05:00",5301973
1,"07/10/2021 06:00",5342513
1,"07/10/2021 07:00",5035037
1,"07/10/2021 08:00",5142413
1,"07/10/2021 09:00",6064819
1,"07/10/2021 10:00",5507359
1,"07/10/2021 11:00",5261139
1,"07/10/2021 12:00",5891010
1,"07/10/2021 13:00",6127330
1,"07/10/2021 14:00",6411341
1,"07/10/2021 15:01",6265833
1,"07/10/2021 16:00",6522429
1,"07/10/2021 17:00",5939593
1,"07/10/2021 18:00",6055980
1,"07/10/2021 19:00",6006184
1,"07/10/2021 20:01",6140080
1,"07/10/2021 21:00",6530980
1,"07/10/2021 22:00",6101315
1,"07/10/2021 23:00",6006943
1,"08/10/2021 00:00",6008078
1,"08/10/2021 01:01",5823212
1,"08/10/2021 02:00",5654437
1,"08/10/2021 03:00",5335031
1,"08/10/2021 04:01",5016258
1,"08/10/2021 05:00",5180272
1,"08/10/2021 06:01",4927737
1,"08/10/2021 07:00",5335332
1,"08/10/2021 08:00",5233450
1,"08/10/2021 09:01",5042280
1,"08/10/2021 10:00",4218636
1,"08/10/2021 10:52",6703800
1,"08/10/2021 12:01",6546218
1,"08/10/2021 13:00",7149146
1,"08/10/2021 14:01",7315379
1,"08/10/2021 15:00",7771960
1,"08/10/2021 16:00",7695991
1,"08/10/2021 17:01",7031075
1,"08/10/2021 18:00",7264371
1,"08/10/2021 19:01",7029600
1,"08/10/2021 20:00",7672758
1,"08/10/2021 21:00",8313574
1,"08/10/2021 22:01",7655192
1,"08/10/2021 23:00",7373202
1,"09/10/2021 00:01",6836031
1,"09/10/2021 01:00",6625249
1,"09/10/2021 02:00",6521775
1,"09/10/2021 03:01",6492324
1,"09/10/2021 04:00",6031887
1,"09/10/2021 05:00",5884333
1,"09/10/2021 06:00",5598026
1,"09/10/2021 07:00",5553367
1,"09/10/2021 08:01",5589918
1,"09/10/2021 09:00",5563874
1,"09/10/2021 10:00",5768656
1,"09/10/2021 11:00",5575039
1,"09/10/2021 12:00",5709185
1,"09/10/2021 13:01",5838569
1,"09/10/2021 14:00",6462473
1,"09/10/2021 15:00",6557894
1,"09/10/2021 16:00",6985976
1,"09/10/2021 17:00",6994740
1,"09/10/2021 18:00",6834052
1,"09/10/2021 19:00",6683851
1,"09/10/2021 20:00",6600600
1,"09/10/2021 21:01",6536505
1,"09/10/2021 22:00",6738184
1,"09/10/2021 23:00",6952287
1,"10/10/2021 00:00",6180899
1,"10/10/2021 01:00",6313797
1,"10/10/2021 02:00",6564930
1,"10/10/2021 03:00",6165087
1,"10/10/2021 04:00",6263128
1,"10/10/2021 05:00",5807232
1,"10/10/2021 06:00",6069212
1,"10/10/2021 07:00",5430273
1,"10/10/2021 08:00",5679692
1,"10/10/2021 09:00",5684257
1,"10/10/2021 10:00",6065422
1,"10/10/2021 11:01",6235770
1,"10/10/2021 12:00",6321461
1,"10/10/2021 13:00",6531674
1,"10/10/2021 14:00",6552859
1,"10/10/2021 15:00",6788485
1,"10/10/2021 16:01",6443579
1,"10/10/2021 17:00",6175346
1,"10/10/2021 18:00",6218749
1,"10/10/2021 19:00",6480036
1,"10/10/2021 20:00",6478111
1,"10/10/2021 21:01",6225109
1,"10/10/2021 22:00",6281072
1,"10/10/2021 23:00",6053703
1,"11/10/2021 00:01",5776489
1,"11/10/2021 01:00",5917414
1,"11/10/2021 02:01",6022839
1,"11/10/2021 03:00",6439772
1,"11/10/2021 04:00",6012474
1,"11/10/2021 05:00",6041122
1,"11/10/2021 06:00",6180963
1,"11/10/2021 07:00",5959793
1,"11/10/2021 08:01",5977264
1,"11/10/2021 09:00",5937455
1,"11/10/2021 10:00",6018968
1,"11/10/2021 11:00",6248360
1,"11/10/2021 12:00",7184580
1,"11/10/2021 13:01",7224955
1,"11/10/2021 14:00",7562392
1,"11/10/2021 15:01",7455885
1,"11/10/2021 16:00",7650419
1,"11/10/2021 17:00",7494818
