INSTANCE,SYSDATE,VALUE
1,06-01-22 02:30,34926
1,06-01-22 03:00,34941
1,06-01-22 03:31,34954
1,06-01-22 04:01,34948
1,06-01-22 04:31,24574
1,06-01-22 05:00,41600
1,06-01-22 05:30,38634
1,06-01-22 06:01,34934
1,06-01-22 06:31,24632
1,06-01-22 07:00,45310
1,06-01-22 07:30,34989
1,06-01-22 08:00,34927
1,06-01-22 08:31,24579
1,06-01-22 09:00,35008
1,06-01-22 09:30,45292
1,06-01-22 10:00,34960
1,06-01-22 10:31,35002
1,06-01-22 11:01,34923
1,06-01-22 11:31,24588
1,06-01-22 12:00,34997
1,06-01-22 12:30,45304
1,06-01-22 13:01,34932
1,06-01-22 13:31,34986
1,06-01-22 14:01,24624
1,06-01-22 14:30,34972
1,06-01-22 15:00,34987
1,06-01-22 15:30,45184
1,06-01-22 16:01,35064
1,06-01-22 16:31,34994
1,06-01-22 17:01,24557
1,06-01-22 17:30,34935
1,06-01-22 18:00,34993
1,06-01-22 18:31,45267
1,06-01-22 19:01,34935
1,06-01-22 19:31,24580
1,06-01-22 20:00,34992
1,06-01-22 20:30,34942
1,06-01-22 21:01,45252
1,06-01-22 21:31,24687
1,06-01-22 22:00,61115
1,06-01-22 22:30,35019
1,06-01-22 23:00,35000
1,06-01-22 23:30,34913
1,07-01-22 00:01,35279
1,07-01-22 00:31,35014
1,07-01-22 01:01,35087
1,07-01-22 01:30,35516
1,07-01-22 02:00,49045
1,07-01-22 02:30,35243
1,07-01-22 03:01,35111
1,07-01-22 03:31,35220
1,07-01-22 04:01,35060
1,07-01-22 04:30,34937
1,07-01-22 05:00,34992
1,07-01-22 05:30,34968
1,07-01-22 06:00,34930
1,07-01-22 06:31,35012
1,07-01-22 07:01,34888
1,07-01-22 07:31,34857
1,07-01-22 08:00,35000
1,07-01-22 08:31,34997
1,07-01-22 09:01,34999
1,07-01-22 09:31,35021
1,07-01-22 10:01,35294
1,07-01-22 10:31,34559
1,07-01-22 11:00,35454
1,07-01-22 11:30,35037
1,07-01-22 12:00,35273
1,07-01-22 12:30,44185
1,07-01-22 13:00,47598
1,07-01-22 13:30,44158
1,07-01-22 14:00,35130
1,07-01-22 14:31,35006
1,07-01-22 15:01,34976
1,07-01-22 15:31,34992
1,07-01-22 16:01,34509
1,07-01-22 16:30,34973
1,07-01-22 17:00,35344
1,07-01-22 17:31,34881
1,07-01-22 18:01,34992
1,07-01-22 18:31,34493
1,07-01-22 19:00,34979
1,07-01-22 19:30,35251
1,07-01-22 20:01,34970
1,07-01-22 20:31,34990
1,07-01-22 21:01,34572
1,07-01-22 21:30,35089
1,07-01-22 22:00,48114
1,07-01-22 22:30,35032
1,07-01-22 23:00,34939
1,07-01-22 23:31,35377
1,08-01-22 00:01,34508
1,08-01-22 00:30,34989
1,08-01-22 01:00,34918
1,08-01-22 01:30,34957
1,08-01-22 02:00,52796
1,08-01-22 02:31,35393
1,08-01-22 03:01,34416
1,08-01-22 03:30,34994
1,08-01-22 04:00,34891
1,08-01-22 04:30,34991
1,08-01-22 05:01,34885
1,08-01-22 05:31,42594
1,08-01-22 06:01,34446
1,08-01-22 06:30,34965
1,08-01-22 07:00,35159
1,08-01-22 07:30,34988
1,08-01-22 08:01,34894
1,08-01-22 08:31,34833
1,08-01-22 09:00,34971
1,08-01-22 09:30,35017
1,08-01-22 10:01,41014
1,08-01-22 10:31,35021
1,08-01-22 11:01,34901
1,08-01-22 11:31,34847
1,08-01-22 12:00,35016
1,08-01-22 12:30,35035
1,08-01-22 13:01,34879
1,08-01-22 13:31,34837
1,08-01-22 14:00,37649
1,08-01-22 14:30,34972
1,08-01-22 15:01,35012
1,08-01-22 15:31,35009
1,08-01-22 16:01,34853
1,08-01-22 16:30,35023
1,08-01-22 17:01,35018
1,08-01-22 17:31,34971
1,08-01-22 18:01,38827
1,08-01-22 18:30,34942
1,08-01-22 19:00,34982
1,08-01-22 19:30,34923
1,08-01-22 20:01,35007
1,08-01-22 20:31,34975
1,08-01-22 21:01,34851
1,08-01-22 21:30,34926
1,08-01-22 22:00,43419
1,08-01-22 22:30,34985
1,08-01-22 23:01,35035
1,08-01-22 23:31,35078
1,09-01-22 00:01,34902
1,09-01-22 00:30,34937
1,09-01-22 01:00,34989
1,09-01-22 01:31,34860
1,09-01-22 02:01,49625
1,09-01-22 02:31,34777
1,09-01-22 03:00,35018
1,09-01-22 03:31,34943
1,09-01-22 04:01,34941
1,09-01-22 04:31,35011
1,09-01-22 05:01,34878
1,09-01-22 05:30,37837
1,09-01-22 06:00,41764
1,09-01-22 06:30,35020
1,09-01-22 07:01,34915
1,09-01-22 07:31,35158
1,09-01-22 08:01,34679
1,09-01-22 08:30,34928
1,09-01-22 09:00,34983
1,09-01-22 09:30,43549
1,09-01-22 10:00,44669
1,09-01-22 10:30,35041
1,09-01-22 11:01,34884
1,09-01-22 11:31,34859
1,09-01-22 12:00,35047
1,09-01-22 12:30,34983
1,09-01-22 13:00,34912
1,09-01-22 13:31,34977
1,09-01-22 14:01,38714
1,09-01-22 14:31,34957
1,09-01-22 15:00,34992
1,09-01-22 15:30,34935
1,09-01-22 16:00,35027
1,09-01-22 16:31,34964
1,09-01-22 17:01,34924
1,09-01-22 17:30,34905
1,09-01-22 18:00,38935
1,09-01-22 18:30,34887
