INSTANCE,SYSDATE,VALUE
1,06-01-2022 02:01,1204
1,06-01-2022 03:00,1100
1,06-01-2022 04:00,1104
1,06-01-2022 05:00,1173
1,06-01-2022 06:01,1061
1,06-01-2022 07:00,1089
1,06-01-2022 08:00,1113
1,06-01-2022 09:00,1166
1,06-01-2022 10:01,1125
1,06-01-2022 11:00,1190
1,06-01-2022 12:01,1072
1,06-01-2022 13:01,1125
1,06-01-2022 14:00,1138
1,06-01-2022 15:00,1245
1,06-01-2022 16:01,1129
1,06-01-2022 17:01,1124
1,06-01-2022 18:01,1112
1,06-01-2022 19:00,1067
1,06-01-2022 20:00,1180
1,06-01-2022 21:01,62909
1,06-01-2022 22:01,211797
1,06-01-2022 23:00,1400
1,07-01-2022 00:01,1203
1,07-01-2022 01:01,11266
1,07-01-2022 02:00,1241
1,07-01-2022 03:00,1185
1,07-01-2022 04:01,1095
1,07-01-2022 05:01,1051
1,07-01-2022 06:00,1181
1,07-01-2022 07:01,1030
1,07-01-2022 08:01,1129
1,07-01-2022 09:00,1225
1,07-01-2022 10:01,1101
1,07-01-2022 11:01,1106
1,07-01-2022 12:00,1314
1,07-01-2022 13:00,1304
1,07-01-2022 14:01,1208
1,07-01-2022 15:01,1145
1,07-01-2022 16:00,1120
1,07-01-2022 17:00,1207
1,07-01-2022 18:01,1086
1,07-01-2022 19:01,1079
1,07-01-2022 20:00,1132
1,07-01-2022 21:00,16293
1,07-01-2022 22:01,5893
1,07-01-2022 23:00,1427
1,08-01-2022 00:00,1184
1,08-01-2022 01:01,10774
1,08-01-2022 02:01,1287
1,08-01-2022 03:00,1029
1,08-01-2022 04:00,1198
1,08-01-2022 05:01,9702
1,08-01-2022 06:01,17651
1,08-01-2022 07:00,1565
1,08-01-2022 08:01,1164
1,08-01-2022 09:01,1076
1,08-01-2022 10:00,4889
1,08-01-2022 11:01,1155
1,08-01-2022 12:01,1194
1,08-01-2022 13:01,1031
1,08-01-2022 14:00,4136
1,08-01-2022 15:00,1256
1,08-01-2022 16:01,1059
1,08-01-2022 17:01,1145
1,08-01-2022 18:01,3966
1,08-01-2022 19:00,1211
1,08-01-2022 20:00,1263
1,08-01-2022 21:01,1077
1,08-01-2022 22:01,9614
1,08-01-2022 23:00,1150
1,09-01-2022 00:00,1148
1,09-01-2022 01:00,10945
1,09-01-2022 02:01,1174
1,09-01-2022 03:01,1142
1,09-01-2022 04:00,1103
1,09-01-2022 05:00,12624
1,09-01-2022 06:01,10365
1,09-01-2022 07:00,1560
1,09-01-2022 08:01,1196
1,09-01-2022 09:01,1084
1,09-01-2022 10:00,5099
1,09-01-2022 11:01,1174
1,09-01-2022 12:00,1080
1,09-01-2022 13:00,1243
1,09-01-2022 14:01,4340
1,09-01-2022 15:01,1069
1,09-01-2022 16:00,1221
1,09-01-2022 17:01,1145
1,09-01-2022 18:01,3642
1,09-01-2022 19:00,1145
1,09-01-2022 20:00,1175
1,09-01-2022 21:00,1213
1,09-01-2022 22:01,10493
1,09-01-2022 23:01,1136
1,10-01-2022 00:00,1153
1,10-01-2022 01:00,11909
1,10-01-2022 02:01,1096
1,10-01-2022 03:01,1117
1,10-01-2022 04:00,1158
1,10-01-2022 05:01,1052
1,10-01-2022 06:01,1097
1,10-01-2022 07:00,1151
1,10-01-2022 08:00,1128
1,10-01-2022 09:01,1573
1,10-01-2022 10:01,1441
1,10-01-2022 11:00,1360
1,10-01-2022 12:00,2257
1,10-01-2022 13:00,2193
1,10-01-2022 14:01,3472
1,10-01-2022 15:00,1978
1,10-01-2022 16:00,2609
1,10-01-2022 17:01,3499
1,10-01-2022 18:00,1766
1,10-01-2022 19:01,1176
1,10-01-2022 20:01,1129
1,10-01-2022 21:01,5153
1,10-01-2022 22:00,16748
1,10-01-2022 23:01,1276
1,11-01-2022 00:01,1116
1,11-01-2022 01:00,10675
1,11-01-2022 02:00,1184
1,11-01-2022 03:00,1221
1,11-01-2022 04:01,1117
1,11-01-2022 05:01,1042
1,11-01-2022 06:01,1118
1,11-01-2022 07:00,1111
1,11-01-2022 08:00,1595
1,11-01-2022 09:00,76529
1,11-01-2022 10:01,1462
1,11-01-2022 11:00,172878
1,11-01-2022 12:00,1997
1,11-01-2022 13:01,1891
1,11-01-2022 14:01,1761
1,11-01-2022 15:00,1215
1,11-01-2022 16:01,20840
1,11-01-2022 17:01,10008
1,11-01-2022 18:01,5070
1,11-01-2022 19:00,1198
1,11-01-2022 20:00,1153
1,11-01-2022 21:01,9323
1,11-01-2022 22:01,17725
1,11-01-2022 23:00,1445
1,12-01-2022 00:00,1244
1,12-01-2022 01:01,12531
1,12-01-2022 02:00,1104
1,12-01-2022 03:00,1206
1,12-01-2022 04:01,1079
1,12-01-2022 05:01,991
1,12-01-2022 06:00,1227
1,12-01-2022 07:01,1115
1,12-01-2022 08:01,1209
1,12-01-2022 09:00,1630
1,12-01-2022 10:00,1475
1,12-01-2022 11:01,1067
1,12-01-2022 12:00,1810402
1,12-01-2022 13:00,1297057
1,12-01-2022 14:01,2074
1,12-01-2022 15:01,1403
1,12-01-2022 16:00,1617
1,12-01-2022 17:01,2399
1,12-01-2022 18:00,1294
1,12-01-2022 19:00,42313
1,12-01-2022 20:01,1148
1,12-01-2022 21:01,6972
1,12-01-2022 22:00,855756
1,12-01-2022 23:01,1732522
1,13-01-2022 00:01,1234
1,13-01-2022 01:00,12807
1,13-01-2022 02:01,1175
1,13-01-2022 03:01,1035
1,13-01-2022 04:00,1128
1,13-01-2022 05:00,1138
1,13-01-2022 06:01,1161
1,13-01-2022 07:01,1033
1,13-01-2022 08:00,1140
1,13-01-2022 09:00,1286
1,13-01-2022 10:01,1272
1,13-01-2022 11:00,1293
1,13-01-2022 12:00,1800
1,13-01-2022 13:01,1657
1,13-01-2022 14:01,1480
1,13-01-2022 15:00,2169
1,13-01-2022 16:00,64198
1,13-01-2022 17:01,1841
1,13-01-2022 18:01,1119
1,13-01-2022 19:00,1210
1,13-01-2022 20:01,1116
1,13-01-2022 21:01,61118
1,13-01-2022 22:01,223530
1,13-01-2022 23:00,1559
1,14-01-2022 00:01,1242
1,14-01-2022 01:01,11638
1,14-01-2022 02:00,1234
1,14-01-2022 03:00,1179
1,14-01-2022 04:01,1082
1,14-01-2022 05:01,1101
1,14-01-2022 06:00,1112
1,14-01-2022 07:00,1348
1,14-01-2022 08:01,1714
1,14-01-2022 09:01,1538
1,14-01-2022 10:00,2377
