INSTANCE,SQLID,DATETIME,BUFFERGETS,SQLRANK
1,"92z70vraqxtvc","20/09/2021 00:00",582158018,1
2,"92z70vraqxtvc","20/09/2021 00:00",562967217,2
2,"bpxhquwnjmnz6","20/09/2021 00:00",419903903,3
2,"b8qkss3pzw8cq","20/09/2021 00:00",414398816,4
1,"bpxhquwnjmnz6","20/09/2021 00:00",355808047,5
2,"fubwa2hzv4527","20/09/2021 00:00",271160377,6
2,"2mmbnawnjdmsh","20/09/2021 00:00",220557841,7
2,"44ptburrzh90b","20/09/2021 00:00",157720983,8
2,"bq83hhrs0n6ju","20/09/2021 00:00",128288353,9
2,"60crdf74q2ygw","20/09/2021 00:00",127903939,10
2,"83duzmcmjhs6b","20/09/2021 01:00",1663873590,1
1,"bpxhquwnjmnz6","20/09/2021 01:00",510229132,2
2,"b8qkss3pzw8cq","20/09/2021 01:00",414557058,3
2,"92z70vraqxtvc","20/09/2021 01:00",396557935,4
2,"fubwa2hzv4527","20/09/2021 01:00",290780805,5
2,"bpxhquwnjmnz6","20/09/2021 01:00",275894866,6
2,"2mmbnawnjdmsh","20/09/2021 01:00",195833772,7
2,"bq83hhrs0n6ju","20/09/2021 01:00",129731097,8
2,"60crdf74q2ygw","20/09/2021 01:00",129629184,9
2,"44ptburrzh90b","20/09/2021 01:00",116368482,10
1,"92z70vraqxtvc","20/09/2021 02:00",588606208,1
2,"92z70vraqxtvc","20/09/2021 02:00",556152720,2
1,"bpxhquwnjmnz6","20/09/2021 02:00",429061289,3
2,"b8qkss3pzw8cq","20/09/2021 02:00",414264306,4
2,"bpxhquwnjmnz6","20/09/2021 02:00",370274073,5
2,"fubwa2hzv4527","20/09/2021 02:00",298948808,6
2,"2mmbnawnjdmsh","20/09/2021 02:00",224478119,7
1,"4xn5k2whq6ru3","20/09/2021 02:00",107474090,8
1,"88s4u3ggr8x7r","20/09/2021 02:00",88396208,9
2,"4xn5k2whq6ru3","20/09/2021 02:00",86776477,10
2,"92z70vraqxtvc","20/09/2021 03:00",601369441,1
1,"92z70vraqxtvc","20/09/2021 03:00",543543550,2
1,"b8qkss3pzw8cq","20/09/2021 03:00",414822522,3
2,"bpxhquwnjmnz6","20/09/2021 03:00",400807068,4
1,"bpxhquwnjmnz6","20/09/2021 03:00",371476154,5
2,"fubwa2hzv4527","20/09/2021 03:00",274988784,6
2,"2mmbnawnjdmsh","20/09/2021 03:00",202908089,7
1,"4xn5k2whq6ru3","20/09/2021 03:00",104670696,8
2,"bq83hhrs0n6ju","20/09/2021 03:00",103317816,9
2,"60crdf74q2ygw","20/09/2021 03:00",103092602,10
2,"83duzmcmjhs6b","20/09/2021 04:00",3735187149,1
1,"92z70vraqxtvc","20/09/2021 04:00",671243234,2
2,"92z70vraqxtvc","20/09/2021 04:00",472818653,3
1,"bpxhquwnjmnz6","20/09/2021 04:00",415664350,4
2,"b8qkss3pzw8cq","20/09/2021 04:00",414643807,5
2,"bpxhquwnjmnz6","20/09/2021 04:00",396329081,6
2,"fubwa2hzv4527","20/09/2021 04:00",287105202,7
2,"2mmbnawnjdmsh","20/09/2021 04:00",220591448,8
2,"bq83hhrs0n6ju","20/09/2021 04:00",120630083,9
2,"60crdf74q2ygw","20/09/2021 04:00",120058244,10
1,"92z70vraqxtvc","20/09/2021 05:00",799677385,1
1,"bpxhquwnjmnz6","20/09/2021 05:00",563195934,2
1,"b8qkss3pzw8cq","20/09/2021 05:00",414490524,3
2,"92z70vraqxtvc","20/09/2021 05:00",358250286,4
2,"bpxhquwnjmnz6","20/09/2021 05:00",273558547,5
2,"fubwa2hzv4527","20/09/2021 05:00",272915572,6
2,"2mmbnawnjdmsh","20/09/2021 05:00",208045797,7
2,"bq83hhrs0n6ju","20/09/2021 05:00",127321404,8
2,"60crdf74q2ygw","20/09/2021 05:00",127308218,9
2,"9t27t0v2rw9g8","20/09/2021 05:00",115434186,10
1,"92z70vraqxtvc","20/09/2021 06:00",883146494,1
2,"b8qkss3pzw8cq","20/09/2021 06:00",414337843,2
2,"fubwa2hzv4527","20/09/2021 06:00",305555003,3
2,"2mmbnawnjdmsh","20/09/2021 06:00",218401599,4
2,"bpxhquwnjmnz6","20/09/2021 06:00",146632953,5
2,"60crdf74q2ygw","20/09/2021 06:00",132868182,6
2,"bq83hhrs0n6ju","20/09/2021 06:00",132815076,7
2,"9t27t0v2rw9g8","20/09/2021 06:00",121832914,8
1,"4xn5k2whq6ru3","20/09/2021 06:00",102520016,9
2,"4xn5k2whq6ru3","20/09/2021 06:00",83439791,10
2,"bpxhquwnjmnz6","20/09/2021 07:00",427679634,1
2,"b8qkss3pzw8cq","20/09/2021 07:00",414350484,2
1,"bpxhquwnjmnz6","20/09/2021 07:00",403640673,3
2,"fubwa2hzv4527","20/09/2021 07:00",320464681,4
2,"bq83hhrs0n6ju","20/09/2021 07:00",137196172,5
2,"60crdf74q2ygw","20/09/2021 07:00",137148252,6
2,"44ptburrzh90b","20/09/2021 07:00",136485155,7
1,"4xn5k2whq6ru3","20/09/2021 07:00",103232632,8
2,"88s4u3ggr8x7r","20/09/2021 07:00",92712524,9
2,"4xn5k2whq6ru3","20/09/2021 07:00",81931141,10
2,"83duzmcmjhs6b","20/09/2021 08:00",1518239716,1
1,"92z70vraqxtvc","20/09/2021 08:00",735033544,2
1,"b8qkss3pzw8cq","20/09/2021 08:00",414460190,3
2,"92z70vraqxtvc","20/09/2021 08:00",403251922,4
2,"bpxhquwnjmnz6","20/09/2021 08:00",390017571,5
1,"bpxhquwnjmnz6","20/09/2021 08:00",360667854,6
2,"fubwa2hzv4527","20/09/2021 08:00",313056546,7
2,"2mmbnawnjdmsh","20/09/2021 08:00",223547786,8
2,"44ptburrzh90b","20/09/2021 08:00",100807564,9
1,"4xn5k2whq6ru3","20/09/2021 08:00",97588611,10
1,"92z70vraqxtvc","20/09/2021 09:00",639563271,1
2,"92z70vraqxtvc","20/09/2021 09:00",517672635,2
1,"bpxhquwnjmnz6","20/09/2021 09:00",487514527,3
1,"b8qkss3pzw8cq","20/09/2021 09:00",414920984,4
2,"bpxhquwnjmnz6","20/09/2021 09:00",343464179,5
2,"fubwa2hzv4527","20/09/2021 09:00",322798300,6
2,"9t3rudw3dcv42","20/09/2021 09:00",308392973,7
2,"2mmbnawnjdmsh","20/09/2021 09:00",224252660,8
2,"44ptburrzh90b","20/09/2021 09:00",150615218,9
2,"bq83hhrs0n6ju","20/09/2021 09:00",98927932,10
2,"83duzmcmjhs6b","20/09/2021 10:00",1647722046,1
1,"92z70vraqxtvc","20/09/2021 10:00",625599017,2
2,"92z70vraqxtvc","20/09/2021 10:00",504512938,3
1,"b8qkss3pzw8cq","20/09/2021 10:00",414560344,4
1,"bpxhquwnjmnz6","20/09/2021 10:00",402180019,5
2,"bpxhquwnjmnz6","20/09/2021 10:00",363440876,6
2,"fubwa2hzv4527","20/09/2021 10:00",356899060,7
2,"2mmbnawnjdmsh","20/09/2021 10:00",226836914,8
2,"44ptburrzh90b","20/09/2021 10:00",217718940,9
2,"bq83hhrs0n6ju","20/09/2021 10:00",135787722,10
1,"92z70vraqxtvc","20/09/2021 11:00",627194805,1
2,"92z70vraqxtvc","20/09/2021 11:00",524319960,2
1,"bpxhquwnjmnz6","20/09/2021 11:00",515688861,3
2,"b8qkss3pzw8cq","20/09/2021 11:00",414944620,4
2,"fubwa2hzv4527","20/09/2021 11:00",363067602,5
2,"bpxhquwnjmnz6","20/09/2021 11:00",286859263,6
2,"44ptburrzh90b","20/09/2021 11:00",281366288,7
2,"2mmbnawnjdmsh","20/09/2021 11:00",219157386,8
2,"bq83hhrs0n6ju","20/09/2021 11:00",147223792,9
2,"60crdf74q2ygw","20/09/2021 11:00",146818814,10
2,"83duzmcmjhs6b","20/09/2021 12:00",2918528755,1
1,"92z70vraqxtvc","20/09/2021 12:00",754692928,2
1,"bpxhquwnjmnz6","20/09/2021 12:00",434097124,3
2,"b8qkss3pzw8cq","20/09/2021 12:00",415159389,4
2,"92z70vraqxtvc","20/09/2021 12:00",396865611,5
2,"44ptburrzh90b","20/09/2021 12:00",381692310,6
2,"fubwa2hzv4527","20/09/2021 12:00",347011091,7
2,"2mmbnawnjdmsh","20/09/2021 12:00",224376848,8
2,"bq83hhrs0n6ju","20/09/2021 12:00",152923031,9
2,"60crdf74q2ygw","20/09/2021 12:00",152878848,10
1,"92z70vraqxtvc","20/09/2021 13:00",613747838,1
2,"44ptburrzh90b","20/09/2021 13:00",446594705,2
2,"92z70vraqxtvc","20/09/2021 13:00",421741536,3
1,"bpxhquwnjmnz6","20/09/2021 13:00",421551847,4
2,"fubwa2hzv4527","20/09/2021 13:00",415180083,5
1,"b8qkss3pzw8cq","20/09/2021 13:00",414566003,6
2,"bpxhquwnjmnz6","20/09/2021 13:00",367055593,7
2,"2mmbnawnjdmsh","20/09/2021 13:00",233520516,8
2,"bq83hhrs0n6ju","20/09/2021 13:00",162384939,9
2,"60crdf74q2ygw","20/09/2021 13:00",161501115,10
2,"83duzmcmjhs6b","20/09/2021 14:00",1610030109,1
2,"fubwa2hzv4527","20/09/2021 14:00",466280579,2
2,"44ptburrzh90b","20/09/2021 14:00",452468533,3
1,"bpxhquwnjmnz6","20/09/2021 14:00",451576259,4
2,"b8qkss3pzw8cq","20/09/2021 14:00",414928256,5
2,"bpxhquwnjmnz6","20/09/2021 14:00",330057834,6
2,"2mmbnawnjdmsh","20/09/2021 14:00",223828993,7
2,"0s4tuzkcn5v3p","20/09/2021 14:00",192873411,8
2,"bq83hhrs0n6ju","20/09/2021 14:00",173796922,9
2,"60crdf74q2ygw","20/09/2021 14:00",173576822,10
2,"0s4tuzkcn5v3p","20/09/2021 15:00",848122291,1
2,"92z70vraqxtvc","20/09/2021 15:00",632801998,2
1,"92z70vraqxtvc","20/09/2021 15:00",511859912,3
2,"bpxhquwnjmnz6","20/09/2021 15:00",454200500,4
1,"b8qkss3pzw8cq","20/09/2021 15:00",415762876,5
2,"44ptburrzh90b","20/09/2021 15:00",396479267,6
1,"bpxhquwnjmnz6","20/09/2021 15:00",349528535,7
2,"cyz0vzwjtgbr8","20/09/2021 15:00",252752170,8
2,"bq83hhrs0n6ju","20/09/2021 15:00",238718075,9
2,"60crdf74q2ygw","20/09/2021 15:00",237544386,10
2,"83duzmcmjhs6b","20/09/2021 16:00",1072219534,1
1,"92z70vraqxtvc","20/09/2021 16:00",876750959,2
2,"0s4tuzkcn5v3p","20/09/2021 16:00",746333389,3
2,"fubwa2hzv4527","20/09/2021 16:00",547662595,4
1,"b8qkss3pzw8cq","20/09/2021 16:00",414915442,5
2,"44ptburrzh90b","20/09/2021 16:00",367323216,6
2,"bq83hhrs0n6ju","20/09/2021 16:00",352300754,7
2,"60crdf74q2ygw","20/09/2021 16:00",348725470,8
2,"bpxhquwnjmnz6","20/09/2021 16:00",253348983,9
2,"cyz0vzwjtgbr8","20/09/2021 16:00",199458202,10
1,"83duzmcmjhs6b","20/09/2021 17:00",2987023048,1
1,"92z70vraqxtvc","20/09/2021 17:00",671992375,2
2,"cyz0vzwjtgbr8","20/09/2021 17:00",568538653,3
2,"b8qkss3pzw8cq","20/09/2021 17:00",415219588,4
2,"bpxhquwnjmnz6","20/09/2021 17:00",411893240,5
1,"bpxhquwnjmnz6","20/09/2021 17:00",401300969,6
1,"fubwa2hzv4527","20/09/2021 17:00",321288480,7
2,"fubwa2hzv4527","20/09/2021 17:00",318594864,8
1,"44ptburrzh90b","20/09/2021 17:00",215646624,9
2,"44ptburrzh90b","20/09/2021 17:00",201167696,10
2,"83duzmcmjhs6b","20/09/2021 18:00",3070562300,1
1,"92z70vraqxtvc","20/09/2021 18:00",595188305,2
2,"92z70vraqxtvc","20/09/2021 18:00",569394610,3
2,"cyz0vzwjtgbr8","20/09/2021 18:00",514629815,4
1,"bpxhquwnjmnz6","20/09/2021 18:00",502052780,5
1,"b8qkss3pzw8cq","20/09/2021 18:00",415021660,6
2,"bpxhquwnjmnz6","20/09/2021 18:00",339995040,7
1,"fubwa2hzv4527","20/09/2021 18:00",283805457,8
2,"fubwa2hzv4527","20/09/2021 18:00",280801685,9
1,"2mmbnawnjdmsh","20/09/2021 18:00",205029223,10
2,"92z70vraqxtvc","20/09/2021 19:00",672010823,1
2,"bq83hhrs0n6ju","20/09/2021 19:00",582648673,2
1,"bq83hhrs0n6ju","20/09/2021 19:00",559212049,3
2,"60crdf74q2ygw","20/09/2021 19:00",549097117,4
1,"60crdf74q2ygw","20/09/2021 19:00",526634917,5
2,"bpxhquwnjmnz6","20/09/2021 19:00",454882965,6
1,"bpxhquwnjmnz6","20/09/2021 19:00",284321600,7
2,"cyz0vzwjtgbr8","20/09/2021 19:00",258276205,8
1,"fubwa2hzv4527","20/09/2021 19:00",252927390,9
2,"fubwa2hzv4527","20/09/2021 19:00",242309751,10
1,"83duzmcmjhs6b","20/09/2021 20:00",1622159188,1
1,"cyz0vzwjtgbr8","20/09/2021 20:00",792164814,2
1,"92z70vraqxtvc","20/09/2021 20:00",633062824,3
2,"bpxhquwnjmnz6","20/09/2021 20:00",444512279,4
2,"b8qkss3pzw8cq","20/09/2021 20:00",415170650,5
1,"bpxhquwnjmnz6","20/09/2021 20:00",392390355,6
2,"cyz0vzwjtgbr8","20/09/2021 20:00",259108802,7
2,"fubwa2hzv4527","20/09/2021 20:00",257520840,8
1,"fubwa2hzv4527","20/09/2021 20:00",256092060,9
1,"bq83hhrs0n6ju","20/09/2021 20:00",207231903,10
1,"cyz0vzwjtgbr8","20/09/2021 21:00",758174216,1
2,"83duzmcmjhs6b","20/09/2021 21:00",654774465,2
1,"83duzmcmjhs6b","20/09/2021 21:00",650380066,3
2,"92z70vraqxtvc","20/09/2021 21:00",594758431,4
2,"bpxhquwnjmnz6","20/09/2021 21:00",452871970,5
1,"b8qkss3pzw8cq","20/09/2021 21:00",414731661,6
1,"fubwa2hzv4527","20/09/2021 21:00",321940000,7
1,"bq83hhrs0n6ju","20/09/2021 21:00",312643413,8
1,"60crdf74q2ygw","20/09/2021 21:00",310940353,9
2,"fubwa2hzv4527","20/09/2021 21:00",310058304,10
2,"83duzmcmjhs6b","20/09/2021 22:00",2442809507,1
1,"cyz0vzwjtgbr8","20/09/2021 22:00",1055679309,2
2,"92z70vraqxtvc","20/09/2021 22:00",588252528,3
1,"92z70vraqxtvc","20/09/2021 22:00",556053411,4
2,"b8qkss3pzw8cq","20/09/2021 22:00",415378625,5
1,"bq83hhrs0n6ju","20/09/2021 22:00",312420830,6
1,"60crdf74q2ygw","20/09/2021 22:00",310695723,7
1,"fubwa2hzv4527","20/09/2021 22:00",301059739,8
2,"fubwa2hzv4527","20/09/2021 22:00",294985001,9
2,"bq83hhrs0n6ju","20/09/2021 22:00",292108522,10
1,"92z70vraqxtvc","20/09/2021 23:00",652296828,1
2,"cyz0vzwjtgbr8","20/09/2021 23:00",523405724,2
1,"cyz0vzwjtgbr8","20/09/2021 23:00",506118133,3
2,"6mcpb06rctk0x","20/09/2021 23:00",425275571,4
2,"b8qkss3pzw8cq","20/09/2021 23:00",414934482,5
1,"bq83hhrs0n6ju","20/09/2021 23:00",410350599,6
1,"bpxhquwnjmnz6","20/09/2021 23:00",402638246,7
1,"60crdf74q2ygw","20/09/2021 23:00",391623389,8
2,"bpxhquwnjmnz6","20/09/2021 23:00",372770058,9
2,"60crdf74q2ygw","20/09/2021 23:00",360998506,10
1,"83duzmcmjhs6b","21/09/2021 00:00",2965524244,1
1,"cyz0vzwjtgbr8","21/09/2021 00:00",790792237,2
1,"92z70vraqxtvc","21/09/2021 00:00",575122379,3
2,"bpxhquwnjmnz6","21/09/2021 00:00",471789258,4
2,"b8qkss3pzw8cq","21/09/2021 00:00",415344439,5
1,"bpxhquwnjmnz6","21/09/2021 00:00",324685918,6
2,"cyz0vzwjtgbr8","21/09/2021 00:00",262755693,7
1,"fubwa2hzv4527","21/09/2021 00:00",227128610,8
2,"fubwa2hzv4527","21/09/2021 00:00",223282372,9
1,"2mmbnawnjdmsh","21/09/2021 00:00",215897097,10
2,"83duzmcmjhs6b","21/09/2021 01:00",3302788982,1
1,"cyz0vzwjtgbr8","21/09/2021 01:00",792550809,2
1,"92z70vraqxtvc","21/09/2021 01:00",595052374,3
2,"92z70vraqxtvc","21/09/2021 01:00",556644385,4
2,"bpxhquwnjmnz6","21/09/2021 01:00",481736703,5
1,"bpxhquwnjmnz6","21/09/2021 01:00",346853904,6
2,"cyz0vzwjtgbr8","21/09/2021 01:00",262968483,7
1,"2mmbnawnjdmsh","21/09/2021 01:00",199989774,8
2,"fubwa2hzv4527","21/09/2021 01:00",179135696,9
1,"fubwa2hzv4527","21/09/2021 01:00",179068629,10
2,"cyz0vzwjtgbr8","21/09/2021 02:00",792223498,1
1,"92z70vraqxtvc","21/09/2021 02:00",696564901,2
1,"bpxhquwnjmnz6","21/09/2021 02:00",479961505,3
2,"92z70vraqxtvc","21/09/2021 02:00",447687912,4
1,"b8qkss3pzw8cq","21/09/2021 02:00",415589879,5
2,"bpxhquwnjmnz6","21/09/2021 02:00",325417897,6
1,"cyz0vzwjtgbr8","21/09/2021 02:00",288254274,7
1,"fubwa2hzv4527","21/09/2021 02:00",180554619,8
1,"bq83hhrs0n6ju","21/09/2021 02:00",171294303,9
2,"bq83hhrs0n6ju","21/09/2021 02:00",170333367,10
1,"83duzmcmjhs6b","21/09/2021 03:00",2075052631,1
2,"83duzmcmjhs6b","21/09/2021 03:00",2010619685,2
2,"92z70vraqxtvc","21/09/2021 03:00",582426060,3
1,"92z70vraqxtvc","21/09/2021 03:00",562873145,4
1,"cyz0vzwjtgbr8","21/09/2021 03:00",528174404,5
2,"cyz0vzwjtgbr8","21/09/2021 03:00",528025364,6
1,"b8qkss3pzw8cq","21/09/2021 03:00",415083540,7
2,"bpxhquwnjmnz6","21/09/2021 03:00",390434746,8
2,"fubwa2hzv4527","21/09/2021 03:00",183174810,9
1,"fubwa2hzv4527","21/09/2021 03:00",182258191,10
1,"83duzmcmjhs6b","21/09/2021 04:00",2388849873,1
1,"cyz0vzwjtgbr8","21/09/2021 04:00",791514554,2
2,"92z70vraqxtvc","21/09/2021 04:00",518032930,3
1,"b8qkss3pzw8cq","21/09/2021 04:00",415230963,4
2,"bpxhquwnjmnz6","21/09/2021 04:00",405856563,5
1,"bpxhquwnjmnz6","21/09/2021 04:00",393148323,6
2,"cyz0vzwjtgbr8","21/09/2021 04:00",263588312,7
1,"fubwa2hzv4527","21/09/2021 04:00",179437053,8
1,"2mmbnawnjdmsh","21/09/2021 04:00",178618769,9
2,"fubwa2hzv4527","21/09/2021 04:00",169491396,10
1,"cyz0vzwjtgbr8","21/09/2021 05:00",1059342039,1
1,"92z70vraqxtvc","21/09/2021 05:00",728911270,2
1,"bpxhquwnjmnz6","21/09/2021 05:00",498811981,3
2,"b8qkss3pzw8cq","21/09/2021 05:00",415422040,4
2,"bpxhquwnjmnz6","21/09/2021 05:00",344912441,5
1,"fubwa2hzv4527","21/09/2021 05:00",171129838,6
2,"fubwa2hzv4527","21/09/2021 05:00",166637097,7
1,"2mmbnawnjdmsh","21/09/2021 05:00",164597307,8
2,"9t27t0v2rw9g8","21/09/2021 05:00",112471764,9
2,"4xn5k2whq6ru3","21/09/2021 05:00",111415505,10
1,"cyz0vzwjtgbr8","21/09/2021 06:00",1042737207,1
1,"92z70vraqxtvc","21/09/2021 06:00",735973091,2
1,"bpxhquwnjmnz6","21/09/2021 06:00",480479094,3
2,"b8qkss3pzw8cq","21/09/2021 06:00",415045504,4
2,"bpxhquwnjmnz6","21/09/2021 06:00",261524020,5
2,"fubwa2hzv4527","21/09/2021 06:00",165410800,6
1,"fubwa2hzv4527","21/09/2021 06:00",154313127,7
1,"2mmbnawnjdmsh","21/09/2021 06:00",132841809,8
2,"4xn5k2whq6ru3","21/09/2021 06:00",105785322,9
2,"9t27t0v2rw9g8","21/09/2021 06:00",93325586,10
2,"83duzmcmjhs6b","21/09/2021 07:00",3286048002,1
1,"cyz0vzwjtgbr8","21/09/2021 07:00",1068141163,2
1,"92z70vraqxtvc","21/09/2021 07:00",588808912,3
2,"92z70vraqxtvc","21/09/2021 07:00",568889090,4
2,"bpxhquwnjmnz6","21/09/2021 07:00",532076497,5
1,"b8qkss3pzw8cq","21/09/2021 07:00",415588660,6
1,"bpxhquwnjmnz6","21/09/2021 07:00",299246016,7
1,"2mmbnawnjdmsh","21/09/2021 07:00",170148617,8
1,"fubwa2hzv4527","21/09/2021 07:00",158465437,9
2,"fubwa2hzv4527","21/09/2021 07:00",145804847,10
1,"cyz0vzwjtgbr8","21/09/2021 08:00",785243612,1
1,"92z70vraqxtvc","21/09/2021 08:00",601145389,2
2,"b8qkss3pzw8cq","21/09/2021 08:00",415031829,3
2,"bpxhquwnjmnz6","21/09/2021 08:00",390746887,4
1,"bpxhquwnjmnz6","21/09/2021 08:00",374530752,5
2,"cyz0vzwjtgbr8","21/09/2021 08:00",261705821,6
1,"2mmbnawnjdmsh","21/09/2021 08:00",172253465,7
2,"fubwa2hzv4527","21/09/2021 08:00",159454236,8
1,"fubwa2hzv4527","21/09/2021 08:00",142945717,9
2,"2mmbnawnjdmsh","21/09/2021 08:00",112163660,10
1,"83duzmcmjhs6b","21/09/2021 09:00",1349516083,1
1,"cyz0vzwjtgbr8","21/09/2021 09:00",793170169,2
2,"92z70vraqxtvc","21/09/2021 09:00",665182101,3
1,"92z70vraqxtvc","21/09/2021 09:00",454123863,4
1,"b8qkss3pzw8cq","21/09/2021 09:00",414951748,5
1,"bpxhquwnjmnz6","21/09/2021 09:00",327483218,6
2,"cyz0vzwjtgbr8","21/09/2021 09:00",236809597,7
1,"2mmbnawnjdmsh","21/09/2021 09:00",181594461,8
2,"fubwa2hzv4527","21/09/2021 09:00",176997300,9
1,"fubwa2hzv4527","21/09/2021 09:00",171126384,10
1,"cyz0vzwjtgbr8","21/09/2021 10:00",786079705,1
2,"83duzmcmjhs6b","21/09/2021 10:00",644625024,2
1,"92z70vraqxtvc","21/09/2021 10:00",620145760,3
1,"83duzmcmjhs6b","21/09/2021 10:00",605915993,4
2,"92z70vraqxtvc","21/09/2021 10:00",537444892,5
2,"bpxhquwnjmnz6","21/09/2021 10:00",439943646,6
2,"b8qkss3pzw8cq","21/09/2021 10:00",414776899,7
1,"bpxhquwnjmnz6","21/09/2021 10:00",395119476,8
2,"cyz0vzwjtgbr8","21/09/2021 10:00",287376833,9
1,"fubwa2hzv4527","21/09/2021 10:00",205841720,10
2,"83duzmcmjhs6b","21/09/2021 11:00",2975268584,1
1,"cyz0vzwjtgbr8","21/09/2021 11:00",1046108695,2
2,"92z70vraqxtvc","21/09/2021 11:00",632762572,3
2,"bpxhquwnjmnz6","21/09/2021 11:00",496418413,4
1,"b8qkss3pzw8cq","21/09/2021 11:00",414792578,5
1,"bpxhquwnjmnz6","21/09/2021 11:00",252741299,6
1,"44ptburrzh90b","21/09/2021 11:00",199585308,7
1,"fubwa2hzv4527","21/09/2021 11:00",173985223,8
2,"fubwa2hzv4527","21/09/2021 11:00",172759976,9
1,"2mmbnawnjdmsh","21/09/2021 11:00",160316353,10
1,"83duzmcmjhs6b","21/09/2021 12:00",2944306699,1
1,"cyz0vzwjtgbr8","21/09/2021 12:00",789901726,2
2,"92z70vraqxtvc","21/09/2021 12:00",620679628,3
1,"92z70vraqxtvc","21/09/2021 12:00",530565045,4
2,"bpxhquwnjmnz6","21/09/2021 12:00",486416603,5
1,"b8qkss3pzw8cq","21/09/2021 12:00",415762659,6
1,"bpxhquwnjmnz6","21/09/2021 12:00",356913632,7
2,"cyz0vzwjtgbr8","21/09/2021 12:00",236634486,8
2,"fubwa2hzv4527","21/09/2021 12:00",179823668,9
2,"44ptburrzh90b","21/09/2021 12:00",173672205,10
2,"g18zpwvzu02sf","21/09/2021 13:00",786460452,1
1,"g18zpwvzu02sf","21/09/2021 13:00",778310502,2
1,"cyz0vzwjtgbr8","21/09/2021 13:00",738333123,3
2,"92z70vraqxtvc","21/09/2021 13:00",608016271,4
2,"bpxhquwnjmnz6","21/09/2021 13:00",498147428,5
