INSTANCE,SQLID,DATETIME,CPUTIME,SQLRANK
2,"83duzmcmjhs6b","18/09/2021 00:00",8427342205,1
1,"cyz0vzwjtgbr8","18/09/2021 00:00",3812189905,2
1,"dt2kmgcw8d8h7","18/09/2021 00:00",3182876660,3
2,"dt2kmgcw8d8h7","18/09/2021 00:00",2751984503,4
2,"2mmbnawnjdmsh","18/09/2021 00:00",2726061435,5
2,"fubwa2hzv4527","18/09/2021 00:00",2664495423,6
2,"7pr1dhgncvfhx","18/09/2021 00:00",2066672504,7
2,"3vdcpdywh80sj","18/09/2021 00:00",1783564468,8
2,"4yrxgy0u9xtqh","18/09/2021 00:00",1639023131,9
2,"1zb8ca4s5r17v","18/09/2021 00:00",1606999183,10
2,"83duzmcmjhs6b","18/09/2021 01:00",9820958767,1
1,"cyz0vzwjtgbr8","18/09/2021 01:00",3602175546,2
2,"2mmbnawnjdmsh","18/09/2021 01:00",2769743953,3
1,"dt2kmgcw8d8h7","18/09/2021 01:00",2638977420,4
2,"3vdcpdywh80sj","18/09/2021 01:00",1755268153,5
2,"fubwa2hzv4527","18/09/2021 01:00",1752441803,6
2,"1zb8ca4s5r17v","18/09/2021 01:00",1640469008,7
1,"3vdcpdywh80sj","18/09/2021 01:00",1539770335,8
1,"4xn5k2whq6ru3","18/09/2021 01:00",1516384128,9
2,"bq83hhrs0n6ju","18/09/2021 01:00",1313256790,10
2,"83duzmcmjhs6b","18/09/2021 02:00",1.1903E+10,1
1,"cyz0vzwjtgbr8","18/09/2021 02:00",4276342969,2
2,"2mmbnawnjdmsh","18/09/2021 02:00",2870711010,3
2,"bq83hhrs0n6ju","18/09/2021 02:00",2050861273,4
2,"60crdf74q2ygw","18/09/2021 02:00",1958414931,5
2,"fubwa2hzv4527","18/09/2021 02:00",1953100160,6
2,"1zb8ca4s5r17v","18/09/2021 02:00",1617716849,7
2,"3vdcpdywh80sj","18/09/2021 02:00",1540709115,8
1,"4xn5k2whq6ru3","18/09/2021 02:00",1432233023,9
1,"3vdcpdywh80sj","18/09/2021 02:00",1342155287,10
2,"83duzmcmjhs6b","18/09/2021 03:00",1.2303E+10,1
1,"cyz0vzwjtgbr8","18/09/2021 03:00",3321243308,2
2,"2mmbnawnjdmsh","18/09/2021 03:00",2651928969,3
2,"1zb8ca4s5r17v","18/09/2021 03:00",1649095969,4
2,"3vdcpdywh80sj","18/09/2021 03:00",1478042848,5
1,"7sb2h044zpx3g","18/09/2021 03:00",1429898465,6
1,"4xn5k2whq6ru3","18/09/2021 03:00",1392663405,7
2,"fubwa2hzv4527","18/09/2021 03:00",1314929166,8
1,"3vdcpdywh80sj","18/09/2021 03:00",1294936728,9
2,"417680gz0cqny","18/09/2021 03:00",1207749755,10
