AWRDATE,OBJECT,VALUE,RANK
"26/09/2021 00:00","SUBSCRIPTION","546942176635",1
"26/09/2021 00:00","SUBSCRIPTION_PRESENCE_LOCATION","209120994219",2
"26/09/2021 00:00","POOL_CDR","118304442821",3
"26/09/2021 00:00","HISTO_GPRS_09","6127929661",4
"26/09/2021 00:00","HISTO_GPRS_09_PK","4285908318",5
"26/09/2021 00:00","HISTO_GPRS_09_IDX","1475313769",6
"26/09/2021 00:00","HISTO_LOCATION_09_PK","158150065",7
"26/09/2021 00:00","SUBSCRIPTION_CONSUMPTION","32678507",8
"26/09/2021 00:00","SUBSCRIPTION_LLCC_HISTO_PK","18782846",9
"26/09/2021 00:00","SUBS_PRESENCE_LOCATION_01_IDX","5650506",10
"26/09/2021 01:00","SUBSCRIPTION","548707931328",1
"26/09/2021 01:00","SUBSCRIPTION_PRESENCE_LOCATION","209448955981",2
"26/09/2021 01:00","POOL_CDR","109373765781",3
"26/09/2021 01:00","HISTO_GPRS_09","6463652844",4
"26/09/2021 01:00","HISTO_GPRS_09_PK","4294210547",5
"26/09/2021 01:00","HISTO_GPRS_09_IDX","1533160137",6
"26/09/2021 01:00","HISTO_LOCATION_09_PK","158408252",7
"26/09/2021 01:00","SUBSCRIPTION_CONSUMPTION","32760359",8
"26/09/2021 01:00","SUBSCRIPTION_LLCC_HISTO_PK","19284782",9
"26/09/2021 01:00","HISTO_LOCATION_09","12926928",10
"26/09/2021 02:00","SUBSCRIPTION","550527197068",1
"26/09/2021 02:00","SUBSCRIPTION_PRESENCE_LOCATION","209738232392",2
"26/09/2021 02:00","POOL_CDR","118843081730",3
"26/09/2021 02:00","HISTO_GPRS_09","6372656101",4
"26/09/2021 02:00","HISTO_GPRS_09_PK","4302001166",5
"26/09/2021 02:00","HISTO_GPRS_09_IDX","1420275325",6
"26/09/2021 02:00","HISTO_LOCATION_09_PK","158631990",7
"26/09/2021 02:00","SUBSCRIPTION_CONSUMPTION","32875152",8
"26/09/2021 02:00","SUBSCRIPTION_LLCC_HISTO_PK","19620526",9
"26/09/2021 02:00","HISTO_LOCATION_09","12222694",10
"26/09/2021 03:00","SUBSCRIPTION","552267720063",1
"26/09/2021 03:00","SUBSCRIPTION_PRESENCE_LOCATION","210060681350",2
"26/09/2021 03:00","POOL_CDR","125812287937",3
"26/09/2021 03:00","HISTO_GPRS_09","6337845120",4
"26/09/2021 03:00","HISTO_GPRS_09_PK","4309668671",5
"26/09/2021 03:00","HISTO_GPRS_09_IDX","1500510926",6
"26/09/2021 03:00","HISTO_LOCATION_09_PK","158838735",7
"26/09/2021 03:00","SUBSCRIPTION_LLCC_HISTO_PK","33239338",8
"26/09/2021 03:00","SUBSCRIPTION_CONSUMPTION","32980609",9
"26/09/2021 03:00","SUBS_PRESENCE_LOCATION_01_IDX","5666079",10
"26/09/2021 04:00","SUBSCRIPTION","553905637345",1
"26/09/2021 04:00","SUBSCRIPTION_PRESENCE_LOCATION","210348786796",2
"26/09/2021 04:00","POOL_CDR","118893333123",3
"26/09/2021 04:00","HISTO_GPRS_09","6875023517",4
"26/09/2021 04:00","HISTO_GPRS_09_PK","4316825117",5
"26/09/2021 04:00","HISTO_GPRS_09_IDX","1434301902",6
"26/09/2021 04:00","HISTO_LOCATION_09_PK","159013874",7
"26/09/2021 04:00","SUBSCRIPTION_CONSUMPTION","33087888",8
"26/09/2021 04:00","SUBS_PRESENCE_LOCATION_01_IDX","5671785",9
"26/09/2021 04:00","SUBSCRIPTION_IMSI_IDX","4360306",10
"26/09/2021 05:00","SUBSCRIPTION","555684852216",1
"26/09/2021 05:00","SUBSCRIPTION_PRESENCE_LOCATION","210671820681",2
"26/09/2021 05:00","POOL_CDR","140200226755",3
"26/09/2021 05:00","HISTO_GPRS_09","5795800363",4
"26/09/2021 05:00","HISTO_GPRS_09_PK","4324163680",5
"26/09/2021 05:00","HISTO_GPRS_09_IDX","1167131518",6
"26/09/2021 05:00","HISTO_LOCATION_09_PK","159188207",7
