AWRDATE,OBJECT,VALUE,RANK
"22/09/2021 00:00","SUBSCRIPTION_PRESENCE_LOCATION","8474301596",1
"22/09/2021 00:00","HISTO_GPRS_09_PK","4877983030",2
"22/09/2021 00:00","SUBSCRIPTION_CONSUMPTION","3179751737",3
"22/09/2021 00:00","SUBSCRIPTION","1312637109",4
"22/09/2021 00:00","SUBS_PRESENCE_LOCATION_01_IDX","589560684",5
"22/09/2021 00:00","HISTO_GPRS_09","261143518",6
"22/09/2021 00:00","HISTO_LOCATION_09_PK","227341916",7
"22/09/2021 00:00","HISTO_GPRS_09_IDX","47096988",8
"22/09/2021 00:00","POOL_CHARGING","22703598",9
"22/09/2021 00:00","HISTO_LOCATION_09","4328486",10
"22/09/2021 01:00","SUBSCRIPTION_PRESENCE_LOCATION","8482811388",1
"22/09/2021 01:00","HISTO_GPRS_09_PK","4889236701",2
"22/09/2021 01:00","SUBSCRIPTION_CONSUMPTION","3182804648",3
"22/09/2021 01:00","SUBSCRIPTION","1314225461",4
"22/09/2021 01:00","SUBS_PRESENCE_LOCATION_01_IDX","590157097",5
"22/09/2021 01:00","HISTO_GPRS_09","283952491",6
"22/09/2021 01:00","HISTO_LOCATION_09_PK","227952695",7
"22/09/2021 01:00","HISTO_GPRS_09_IDX","46545280",8
"22/09/2021 01:00","POOL_CHARGING","22735732",9
"22/09/2021 01:00","CTRL_ASYNC_CALLBACK","5588777",10
"22/09/2021 02:00","SUBSCRIPTION_PRESENCE_LOCATION","8490433531",1
"22/09/2021 02:00","HISTO_GPRS_09_PK","4899995707",2
"22/09/2021 02:00","SUBSCRIPTION_CONSUMPTION","3185791246",3
"22/09/2021 02:00","SUBSCRIPTION","1315737272",4
"22/09/2021 02:00","SUBS_PRESENCE_LOCATION_01_IDX","590757342",5
"22/09/2021 02:00","HISTO_GPRS_09","289895136",6
"22/09/2021 02:00","HISTO_LOCATION_09_PK","228462868",7
"22/09/2021 02:00","HISTO_GPRS_09_IDX","45825706",8
"22/09/2021 02:00","POOL_CHARGING","22766746",9
"22/09/2021 02:00","HISTO_LOCATION_09","6838808",10
"22/09/2021 03:00","SUBSCRIPTION_PRESENCE_LOCATION","8497683592",1
"22/09/2021 03:00","HISTO_GPRS_09_PK","4910295461",2
"22/09/2021 03:00","SUBSCRIPTION_CONSUMPTION","3188696176",3
"22/09/2021 03:00","SUBSCRIPTION","1317198974",4
"22/09/2021 03:00","SUBS_PRESENCE_LOCATION_01_IDX","591322567",5
"22/09/2021 03:00","HISTO_GPRS_09","289550465",6
"22/09/2021 03:00","HISTO_LOCATION_09_PK","228909101",7
"22/09/2021 03:00","HISTO_GPRS_09_IDX","46207626",8
"22/09/2021 03:00","POOL_CHARGING","22796908",9
"22/09/2021 03:00","CTRL_ASYNC_CALLBACK","5589508",10
"22/09/2021 04:00","SUBSCRIPTION_PRESENCE_LOCATION","8504550933",1
"22/09/2021 04:00","HISTO_GPRS_09_PK","4920252604",2
"22/09/2021 04:00","SUBSCRIPTION_CONSUMPTION","3191477051",3
"22/09/2021 04:00","SUBSCRIPTION","1318611044",4
"22/09/2021 04:00","SUBS_PRESENCE_LOCATION_01_IDX","591850516",5
"22/09/2021 04:00","HISTO_GPRS_09","261462129",6
"22/09/2021 04:00","HISTO_LOCATION_09_PK","229292819",7
"22/09/2021 04:00","HISTO_GPRS_09_IDX","46069971",8
"22/09/2021 04:00","POOL_CHARGING","22825428",9
