
"INSTANCE","DATETIME","DATA"
1,"20/12/2020 23:00",3913
1,"21/12/2020 00:01",3843
1,"21/12/2020 01:00",3906
1,"21/12/2020 02:00",3940
1,"21/12/2020 03:01",3743
1,"21/12/2020 04:00",3773
1,"21/12/2020 05:00",3702
1,"21/12/2020 06:00",3663
1,"21/12/2020 07:01",3881
1,"21/12/2020 08:00",3729
1,"21/12/2020 09:00",3684
1,"21/12/2020 10:01",3649
1,"21/12/2020 11:00",3871
1,"21/12/2020 12:01",4040
1,"21/12/2020 13:01",3917
1,"21/12/2020 14:00",4165
1,"21/12/2020 15:01",4225
1,"21/12/2020 16:00",4264
1,"21/12/2020 17:00",4282
1,"21/12/2020 18:01",4226
1,"21/12/2020 19:00",4359
1,"21/12/2020 20:00",4405
1,"21/12/2020 21:00",4272
1,"21/12/2020 22:00",4191
1,"21/12/2020 23:00",4131
1,"22/12/2020 00:00",4051
1,"22/12/2020 01:01",3863
1,"22/12/2020 02:00",3804
1,"22/12/2020 03:00",3650
1,"22/12/2020 04:01",3644
1,"22/12/2020 05:00",3263
1,"22/12/2020 06:00",2479
1,"22/12/2020 07:01",3306
1,"22/12/2020 08:00",4903
1,"22/12/2020 09:00",3835
1,"22/12/2020 10:00",3846
1,"22/12/2020 11:00",3845
1,"22/12/2020 12:00",3857
1,"22/12/2020 13:00",4068
1,"22/12/2020 14:01",4171
1,"22/12/2020 15:00",4294
1,"22/12/2020 16:00",4364
1,"22/12/2020 17:01",4260
1,"22/12/2020 18:00",4371
1,"22/12/2020 19:00",4432
1,"22/12/2020 20:01",4279
1,"22/12/2020 21:00",4419
1,"22/12/2020 22:00",4380
1,"22/12/2020 23:01",4172
1,"23/12/2020 00:00",4086
1,"23/12/2020 01:00",3893
1,"23/12/2020 02:00",3785
1,"23/12/2020 03:00",3658
1,"23/12/2020 04:00",3514
1,"23/12/2020 05:00",3496
1,"23/12/2020 06:00",3860
1,"23/12/2020 07:00",3860
1,"23/12/2020 08:01",3381
1,"23/12/2020 09:01",3529
1,"23/12/2020 10:00",3364
1,"23/12/2020 11:00",3474
1,"23/12/2020 12:00",3685
1,"23/12/2020 13:00",3900
1,"23/12/2020 14:01",4111
1,"23/12/2020 15:00",4487
1,"23/12/2020 16:00",4368
1,"23/12/2020 17:00",4254
1,"23/12/2020 18:01",4191
1,"23/12/2020 19:00",4243
1,"23/12/2020 20:00",4310
1,"23/12/2020 21:01",4143
1,"23/12/2020 22:00",4148
1,"23/12/2020 23:00",4078
1,"24/12/2020 00:01",4140
1,"24/12/2020 01:00",4220
1,"24/12/2020 02:00",3938
1,"24/12/2020 03:00",3700
1,"24/12/2020 04:00",3503
1,"24/12/2020 05:00",3436
1,"24/12/2020 06:00",3309
1,"24/12/2020 07:00",3442
1,"24/12/2020 08:00",3261
1,"24/12/2020 09:00",3230
1,"24/12/2020 10:01",3150
1,"24/12/2020 11:00",3292
1,"24/12/2020 12:01",3419
1,"24/12/2020 13:01",3574
1,"24/12/2020 14:00",3739
1,"24/12/2020 15:01",3708
1,"24/12/2020 16:00",3834
1,"24/12/2020 17:00",3864
1,"24/12/2020 18:00",3829
1,"24/12/2020 19:00",3778
1,"24/12/2020 20:00",3739
1,"24/12/2020 21:00",3698
1,"24/12/2020 22:00",3578
1,"24/12/2020 23:00",3517
1,"25/12/2020 00:00",3478
1,"25/12/2020 01:01",3347
1,"25/12/2020 02:00",3332
1,"25/12/2020 03:00",3209
1,"25/12/2020 04:01",3063
1,"25/12/2020 05:00",3282
1,"25/12/2020 06:00",3059
1,"25/12/2020 07:00",3220
1,"25/12/2020 08:00",2988
1,"25/12/2020 09:00",2953
1,"25/12/2020 10:00",2947
1,"25/12/2020 11:01",2877
1,"25/12/2020 12:00",2971
1,"25/12/2020 13:00",3008
1,"25/12/2020 14:01",2968
1,"25/12/2020 15:00",3070
1,"25/12/2020 16:01",3059
1,"25/12/2020 17:00",3110
1,"25/12/2020 18:00",3103
1,"25/12/2020 19:00",3066
1,"25/12/2020 20:00",3068
1,"25/12/2020 21:00",3101
1,"25/12/2020 22:00",3134
1,"25/12/2020 23:00",3077
1,"26/12/2020 00:00",3147
1,"26/12/2020 01:00",3129
1,"26/12/2020 02:01",3115
1,"26/12/2020 03:01",2987
1,"26/12/2020 04:00",3020
1,"26/12/2020 05:01",2947
1,"26/12/2020 06:00",2955
1,"26/12/2020 07:00",3110
1,"26/12/2020 08:01",2866
1,"26/12/2020 09:00",2918
1,"26/12/2020 10:00",2940
1,"26/12/2020 11:01",2953
1,"26/12/2020 12:00",3093
1,"26/12/2020 13:00",3246
1,"26/12/2020 14:01",3283
1,"26/12/2020 15:00",3398
